"","Group.1","points","position","matches_played","shot.statsbomb_xg.for.pg","shot.statsbomb_xg.against.pg","shot.statsbomb_xg_np.for.pg","shot.statsbomb_xg_np.against.pg","shots.pg","shots.np.pg","shots.on.target.pg","shots.against.pg","shots.np.against.pg","shots.on.target.against.pg","shot.distance.pg","shot.distance.against.pg","pass.pg","pass.success.pg","pass.length.pg"
"3","Accrington Stanley",9,20,9,0.990627528911111,1.20431797164444,0.903571973355556,1.11726241608889,12,11.8888888888889,4,10.8888888888889,10.7777777777778,3.22222222222222,18.9429329243688,18.0254227675777,383.666666666667,0.605560382276282,25.772127764958
"16","Barnet",14,15,10,1.40629816622,1.27724254243,1.32794816622,1.04219254243,13.7,13.6,4.5,9.6,9.3,3.2,16.3885785140686,19.5871837924185,456.2,0.70604997807979,22.8655677434568
"23","Barrow",13,17,11,1.10936081578182,1.29467122147273,1.10936081578182,1.29467122147273,11.2727272727273,11.2727272727273,2.72727272727273,13.8181818181818,13.8181818181818,4,17.278611057572,18.8150539631446,377,0.65034965034965,24.7283715853147
"39","Bristol Rovers",17,10,11,1.25334645483636,1.19945697008182,1.18211918210909,1.12822969735455,10.5454545454545,10.4545454545455,2.54545454545455,11.4545454545455,11.3636363636364,3.36363636363636,15.1791199899957,16.5997067958745,381.181818181818,0.665871690913427,26.1100823588457
"43","Bromley",14,13,10,1.51744495093,1.08562872171,1.43909495093,1.00727872171,14.7,14.6,3.8,10.9,10.8,3.8,17.2352336667089,17.2265108421361,354.4,0.579006772009029,27.1712185388544
"47","Cambridge United",18,7,11,1.24128671708182,0.823922197254545,1.24128671708182,0.752694924527273,12.6363636363636,12.6363636363636,3.36363636363636,7.72727272727273,7.63636363636364,3,16.9945790831374,18.4960579265989,414.545454545455,0.644517543859649,24.7959098753553
"55","Cheltenham Town",7,22,11,0.682227021063636,1.93438014043636,0.682227021063636,1.72069832225455,8.90909090909091,8.90909090909091,2.72727272727273,17.9090909090909,17.6363636363636,6.18181818181818,20.6801785307689,18.0049765540436,345.727272727273,0.596634236129371,26.5935230960216
"59","Chesterfield",18,8,11,1.23303273951818,1.41940320775455,1.23303273951818,1.13449411684545,11.3636363636364,11.3636363636364,4,9.36363636363636,9,4,16.8059388936619,17.0066113866287,537.090909090909,0.773696682464455,22.5480074916469
"65","Colchester United",11,18,11,1.42580352933636,1.23111473348182,1.28334898388182,1.23111473348182,12,11.8181818181818,4.54545454545455,11.9090909090909,11.9090909090909,3.63636363636364,18.4513020912053,16.4529567716607,469.545454545455,0.752371732817038,22.8595750221975
"71","Crawley Town",8,21,11,1.30331130236364,1.40893530216364,1.16085675690909,1.33770802943636,13.4545454545455,13.2727272727273,3.72727272727273,13.2727272727273,13.1818181818182,4.63636363636364,17.8606345645598,17.628546888809,454,0.734080897076492,23.0605913615358
"75","Crewe Alexandra",16,11,10,1.44127015952,1.35216716082,1.20622015952,1.19546716082,12.2,11.9,4.3,13.1,12.9,4.8,17.6270139737944,18.1739464720896,399.9,0.662665666416604,25.0861725085146
"93","Fleetwood Town",15,12,11,1.40999593934545,1.55994582858182,1.33876866661818,1.41749128312727,12.8181818181818,12.7272727272727,4.45454545454545,15.5454545454545,15.3636363636364,4.18181818181818,17.1375203817292,17.7771152366309,425.545454545455,0.701773125400555,25.0495524183294
"106","Gillingham",21,3,11,1.29992703750909,1.07492553575455,1.0150179466,1.00369826302727,11.4545454545455,11.0909090909091,3.45454545454545,10.3636363636364,10.2727272727273,3.09090909090909,16.8518890569705,17.7350967943095,363.090909090909,0.600150225338007,26.9387230502629
"111","Grimsby Town",18,5,10,1.88390333449,0.94536745819,1.57050333449,0.86701745819,15.3,14.9,5.1,9.7,9.6,3,17.664959634815,17.7686417045016,498.7,0.742330058151193,22.3235611826048
"120","Harrogate Town",14,16,10,0.94264411294,1.72367781973,0.86429411294,1.72367781973,10.4,10.3,3.9,16.2,16.2,3.8,20.4847148362392,16.3222259046201,391.8,0.641398672792241,24.5729280115467
"143","Milton Keynes Dons",18,6,11,1.11512331710909,0.997310527790909,1.04389604438182,0.926083255063636,11.0909090909091,11,3.54545454545455,10.4545454545455,10.3636363636364,3.72727272727273,16.8361145454273,17.92300361139,416.545454545455,0.66914011348756,24.294610562811
"152","Newport County AFC",5,24,11,1.05092262632727,1.66239024613636,0.908468080872727,1.37748115522727,9.63636363636364,9.45454545454546,3.09090909090909,14.0909090909091,13.7272727272727,4.27272727272727,17.7312360268446,16.2851494126521,376.636363636364,0.673425054308472,25.1876993443447
