"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Neil Adams","Andy Barlow","Darren Beckford","Paul Bernard","Mark Brennan","Willie Donachie","Craig Fleming","Paul Gerrard","Ian Gray","Gunnar Halle","Jon Hallworth","Nick Henry","Richard Jobson","John Keeley","Orfeo Keizerweerd","Chris Makin","Ian Marshall","Neil McDonald","Mike Milligan","Paul Moulden","Ian Olney","Roger Palmer","Neil Pointon","Steve Redmond","Andy Ritchie","Graeme Sharp","Neil Tolson"
"1",1992-07-24,"Tranmere Rovers","2","2","Friendly","A","",2484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1992-07-29,"Hull City","1","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1992-08-01,"Barnsley","1","3","Friendly","A","",1583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1992-08-04,"Stockport County","2","4","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1992-08-08,"Walsall","1","2","Friendly","A","",1204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1992-08-09,"Minehead","4","0","Friendly","A","",800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1992-08-12,"FC Halifax Town","1","1","Friendly","A","",1412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1992-08-15,"Chelsea","1","1","premier-league","A","",20699,NA,11,8,"J Borrett","Stamford Bridge",NA,"x",NA,"x",NA,NA,"uu",NA,NA,"x","x","x g 86 y","x","uu",NA,NA,"x",NA,"x",NA,NA,"x 1 off 68",NA,"x",NA,"x","sub 1 on 68 1"
"9",1992-08-19,"Crystal Palace","1","1","premier-league","H","",11063,NA,14,10,"M Peck","Boundary Park",NA,"x y",NA,"x",NA,NA,"uu",NA,NA,"x","x","x","x","x",NA,NA,"x",NA,"x",NA,NA,"x",NA,"x",NA,"x g 16","x"
"10",1992-08-22,"Nottingham Forest","5","3","premier-league","H","",11632,NA,7,18,"","-","x g ",NA,NA,"x g ",NA,NA,NA,NA,NA,"x g ",NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
