"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Neil Adams","Andy Barlow","Darren Beckford","Paul Bernard","Mark Brennan","John Eyre","Craig Fleming","Paul Gerrard","Gunnar Halle","Jon Hallworth","Nick Henry","Rick Holden","Richard Jobson","Lance Key","Chris Makin","Sean McCarthy","Neil McDonald","Mike Milligan","Ian Olney","Roger Palmer","Tore Pederson","Neil Pointon","Steve Redmond","Andy Ritchie","Graeme Sharp","Gary Walsh"
"1",1993-07-21,"Orebro IK","0","6","Friendly","A","",510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1993-07-23,"Mjolby Sodra","6","0","Friendly","A","",600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1993-07-24,"Sodra Ving IS","7","1","Friendly","A","",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1993-07-26,"Stromgodset","4","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1993-07-28,"Hamer Kmaratene","1","2","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1993-07-29,"Tistedalen","1","0","Friendly","A","",1264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1993-08-04,"Stoke City","0","0","Friendly","A","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1993-08-06,"Burnley","4","1","Friendly","H","",3604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1993-08-14,"Ipswich Town","0","3","premier-league","H","",12074,NA,22,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1993-08-18,"Swindon Town","1","0","premier-league","A","",11940,NA,14,19,"","",NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
