"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Nicky Banger","Paul Bernard","Mark Brennan","John Eyre","Richard Graham","Gunnar Halle","Nick Henry","Rick Holden","Chris Makin","Sean McCarthy","Lee Richardson","Paul Rickers","Andy Ritchie","Graeme Sharp"
"1",1994-07-23,"Isle of Man XI","7","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1994-07-24,"Manchester City","3","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1994-07-27,"Hodd","3","0","Friendly","A","",620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1994-07-30,"Nesjar","4","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1994-08-02,"Molde","1","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1994-08-06,"Rochdale","1","2","Friendly","A","",3004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1994-08-09,"Everton","2","2","Friendly","H","",5034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1994-08-13,"Charlton Athletic","5","2","league-division-1","H","",8924,NA,1,23,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 2 goals;","x g 2 goals;",NA,NA,"x g "
"9",1994-08-20,"Port Vale","1","3","league-division-1","A","",10051,NA,8,12,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g "
"10",1994-08-27,"Burnley","3","0","league-division-1","H","",11310,NA,3,24,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 2 goals;",NA,NA,"x g ",NA
"11",1994-08-30,"Notts County","3","1","league-division-1","A","",6604,NA,1,14,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 3 goals;",NA,NA,NA,NA
"12",1994-09-03,"Southend United","0","1","league-division-1","A","",4435,NA,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1994-09-10,"Reading","1","3","league-division-1","H","",8412,NA,9,2,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA
"14",1994-09-13,"Watford","0","2","league-division-1","H","",7043,NA,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1994-09-17,"Derby County","1","2","league-division-1","A","",13746,NA,20,13,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g pen",NA,NA,NA,NA
"16",1994-09-20,"Oxford United","1","1","league-cup","A","",5070,NA,NA,NA,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA
"17",1994-09-24,"Barnsley","1","0","league-division-1","H","",7941,NA,13,20,"","",NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA
"18",1994-10-01,"Sheffield United","0","2","league-division-1","A","",14223,NA,18,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1994-10-04,"Oxford United","1","0","league-cup","H","",4525,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA
"20",1994-10-08,"Portsmouth","3","2","league-division-1","H","",7683,NA,14,15,"","-",NA,NA,NA,NA,"x g ",NA,NA,"x g pen  pen",NA,NA,NA,NA,NA,NA
"21",1994-10-16,"Bolton Wanderers","2","2","league-division-1","A","",11106,NA,14,9,"","-",NA,"x g NA",NA,NA,NA,NA,NA,NA,NA,"x g NA",NA,NA,NA,NA
"22",1994-10-22,"Stoke City","0","0","league-division-1","H","",8954,NA,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1994-10-26,"Arsenal","0","0","league-cup","H","",9303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1994-10-29,"Sunderland","0","0","league-division-1","A","",17252,NA,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1994-11-01,"Middlesbrough","1","2","league-division-1","A","",15929,NA,17,2,"","-",NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1994-11-06,"Tranmere Rovers","0","0","league-division-1","H","",6475,NA,21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1994-11-09,"Arsenal","0","2","league-cup","A","",22746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1994-11-12,"Luton Town","0","0","league-division-1","H","",7907,NA,15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1994-11-19,"West Bromwich Albion","1","3","league-division-1","A","",14616,NA,18,22,"","-",NA,NA,NA,NA,NA,"x g pen",NA,NA,NA,NA,NA,NA,NA,NA
"30",1994-11-26,"Bristol City","2","0","league-division-1","H","",7277,NA,17,22,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ","x g ",NA,NA,NA
"31",1994-12-04,"Stoke City","1","0","league-division-1","A","",12558,NA,15,12,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA
"32",1994-12-10,"Port Vale","3","2","league-division-1","H","",7712,NA,12,19,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 3 goals;",NA
"33",1994-12-17,"Charlton Athletic","0","2","league-division-1","A","",8970,NA,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1994-12-26,"Wolverhampton Wanderers","4","1","league-division-1","H","",11962,NA,12,6,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,"x g 3 goals;",NA
