"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Nicky Banger","Stuart Barlow","Darren Beckford","David Beresford","Paul Bernard","Mark Brennan","Gerry Creaney","Richard Graham","Gunnar Halle","Chris Makin","Sean McCarthy","Steve Redmond","Lee Richardson","Carl Serrant","Michel Vonk","Paul Wilkinson","Andy Hughes"
"1",1995-08-12,"Huddersfield Town","3","0","league-division-1","H","",10259,NA,1,24,"","-",NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g pen","x g ",NA,NA,NA
"2",1995-08-19,"Barnsley","1","2","league-division-1","A","",8793,NA,6,10,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"3",1995-08-26,"Sheffield United","2","1","league-division-1","H","",6857,NA,3,24,"","-","x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"4",1995-08-30,"Norwich City","1","2","league-division-1","A","",14816,NA,9,8,"","-",NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA
"5",1995-09-02,"Stoke City","1","0","league-division-1","A","",8658,NA,7,23,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1995-09-05,"Ancona","0","1","anglo-italian-cup","A","",311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1995-09-09,"West Bromwich Albion","1","2","league-division-1","H","",8397,NA,9,4,"","-",NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1995-09-12,"Ipswich Town","1","1","league-division-1","H","",5622,NA,9,7,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"9",1995-09-16,"Charlton Athletic","1","1","league-division-1","A","",8926,NA,12,7,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"10",1995-09-19,"Tranmere Rovers","0","1","league-cup","A","",5223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1995-09-23,"Crystal Palace","3","1","league-division-1","H","",6586,NA,8,16,"","-","x g ",NA,NA,NA,NA,"x g ",NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"12",1995-09-30,"Birmingham City","0","0","league-division-1","A","",17269,NA,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1995-10-04,"Tranmere Rovers","1","3","league-cup","H","",5335,NA,NA,NA,"","-",NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA
"14",1995-10-07,"Portsmouth","1","1","league-division-1","H","",5937,NA,8,22,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"15",1995-10-11,"Cesena","0","0","anglo-italian-cup","H","",4766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1995-10-14,"Grimsby Town","1","1","league-division-1","A","",5830,NA,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1995-10-21,"Reading","2","1","league-division-1","H","",5882,NA,7,15,"","",NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,"x g pen",NA,NA,NA,NA
"18",1995-10-28,"Derby County","1","2","league-division-1","A","",11545,NA,7,13,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"19",1995-11-05,"Port Vale","2","2","league-division-1","H","",5138,NA,9,23,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g pen",NA,NA,"x g ",NA
"20",1995-11-08,"Perugia","2","0","anglo-italian-cup","H","",3760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1995-11-11,"Luton Town","1","1","league-division-1","A","",6047,NA,10,23,"","-",NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA
"22",1995-11-18,"Wolverhampton Wanderers","3","1","league-division-1","A","",23128,NA,6,18,"","-",NA,NA,NA,"x g ",NA,NA,NA,NA,NA,"x g ","x g ",NA,NA,NA,NA,NA,NA
"23",1995-11-21,"Millwall","2","2","league-division-1","H","",6131,NA,9,1,"","-",NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA
"24",1995-11-25,"Southend United","0","1","league-division-1","H","",6474,NA,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1995-12-02,"Portsmouth","1","2","league-division-1","A","",6002,NA,14,20,"","-",NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1995-12-09,"Crystal Palace","2","2","league-division-1","A","",14108,NA,15,18,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,"x g ",NA,NA
"27",1995-12-13,"Genoa","0","0","anglo-italian-cup","A","",1500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1995-12-16,"Birmingham City","4","0","league-division-1","H","",6602,NA,12,8,"","-",NA,"x g ",NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA,NA
"29",1995-12-23,"Watford","0","0","league-division-1","H","",5878,NA,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1995-12-26,"Tranmere Rovers","0","2","league-division-1","A","",9783,NA,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1996-01-06,"Barnsley","0","0","fa-cup","A","",9751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1996-01-13,"Barnsley","0","1","league-division-1","H","",6029,NA,17,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1996-01-20,"Huddersfield Town","0","0","league-division-1","A","",13013,NA,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1996-01-23,"Barnsley","2","1","fa-cup","H","",6670,NA,NA,NA,"","-",NA,NA,"x g 2 goals;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1996-02-03,"Sheffield United","1","2","league-division-1","A","",10956,NA,17,22,"","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g "
"36",1996-02-10,"Norwich City","2","0","league-division-1","H","",5604,NA,16,11,"","",NA,"x g ",NA,NA,NA,NA,NA,NA,NA,"x g ",NA,NA,NA,NA,NA,NA,NA
