"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Nicky Banger","Stuart Barlow","David Beresford","Lee Duxbury","Craig Fleming","Mark Foran","John Gannon","Shaun Garnett","Richard Graham","Gunnar Halle","Jon Hallworth","Nick Henry","Doug Hodgson","Gary Kelly","Darren Lonergan","Sean McCarthy","Scott McNiven","Toddy Orlygsson","Ian Ormondroyd","Martin Pemberton","Steve Redmond","Paul Reid","Lee Richardson","Lloyd Richardson","Paul Rickers","Andy Ritchie","Matthew Rush","Carl Serrant","Ian Snodin","Andy Hughes","John Morrow","David McNiven","Andy Holt","Mark Allott"
"1",1996-08-17,"Stoke City","1","2","league-division-1","H","",8021,NA,16,7,"","Boundary Park",NA,"x y","sub 1 on 67 1 y",NA,"x 1 off 67",NA,NA,NA,"x","x","x",NA,NA,NA,NA,"x",NA,"x 2 off 67",NA,"uu","x g 76",NA,"x",NA,"x",NA,NA,"x",NA,NA,"sub 2 on 67 2",NA,NA,NA
"2",1996-08-20,"Grimsby Town","0","1","league-cup","H","",2975,NA,NA,NA,"","Boundary Park",NA,"x","sub 2 on 59 2",NA,"x",NA,NA,NA,"x 1 off 59 y","x","x","sub 1 on 59 1",NA,NA,NA,"x 3 off 65",NA,"x y",NA,"sub 3 on 65 3","x y",NA,"x 2 off 59",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA
"3",1996-08-24,"Crystal Palace","1","3","league-division-1","A","",13675,NA,23,11,"","Selhurst Park","uu","x 2 off 45","sub 2 on 45 2",NA,"x",NA,NA,NA,NA,"x","x","x",NA,NA,NA,"x g 57",NA,NA,NA,"sub 1 on 45 1","x",NA,"x",NA,"x",NA,NA,"x",NA,NA,"x 1 off 45",NA,NA,NA
"4",1996-08-28,"Swindon Town","0","1","league-division-1","A","",8024,NA,24,11,"","The County Ground","sub 1 on 65 1",NA,"x 2 off 87",NA,"x y",NA,NA,NA,"uu","x","x","x",NA,NA,NA,"x",NA,"x 1 off 65 y",NA,"sub 2 on 87 2","x",NA,"x y",NA,"x y",NA,NA,"x",NA,NA,NA,NA,NA,NA
"5",1996-08-31,"Ipswich Town","3","3","league-division-1","H","",5339,NA,22,11,"","Boundary Park","x g 70",NA,NA,NA,"x",NA,NA,NA,"uu","x y","x","x",NA,NA,NA,"x",NA,"x y",NA,"uu","x g 29",NA,"x",NA,"x g 1",NA,NA,"x",NA,NA,"uu",NA,NA,NA
"6",1996-09-03,"Grimsby Town","1","0","league-cup","A","",2371,NA,NA,NA,"","Blundell Park","x 9 off 90",NA,"x y",NA,NA,NA,NA,NA,"x 4 off 90","x 3 off 90","x 1 off 90","x 8 off 90",NA,NA,NA,"x 10 g 57 off 90",NA,"sub 1 on 90 1",NA,"uu","x 5 off 90",NA,"x 6 off 90",NA,"x 7 off 90",NA,NA,"x 2 off 90",NA,NA,NA,"uu",NA,NA
"7",1996-09-07,"Sheffield United","0","2","league-division-1","H","",7323,NA,24,17,"","Boundary Park","x","uu","x",NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,"x",NA,"x 1 off 80",NA,"sub 1 on 80 1","x",NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,"uu",NA,NA
"8",1996-09-10,"Birmingham City","0","0","league-division-1","A","",17228,NA,24,19,"","St. Andrew's Stadium","x 1 off 75","sub 1 on 75 1","x 2 off 79",NA,"x",NA,NA,NA,"x","sub 2 on 79 2",NA,"x",NA,"x",NA,"x",NA,"uu",NA,NA,"x",NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA
"9",1996-09-13,"Huddersfield Town","2","3","league-division-1","A","",10296,NA,24,7,"","John Smith's Stadium","x","uu","x",NA,"x",NA,NA,NA,"x 1 off 85","sub 1 on 85 1",NA,"x y",NA,"x",NA,"x g 28 66",NA,"uu",NA,NA,"x",NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA
"10",1996-09-17,"Tranmere Rovers","2","2","league-cup","H","",3094,NA,NA,NA,"","Boundary Park","x 2 off 78","sub 2 on 78 2",NA,NA,"x",NA,NA,NA,NA,"x",NA,"x",NA,"x",NA,"x 1 off 36","uu","x",NA,NA,"x g 31 y",NA,"x g 84 y",NA,"x",NA,NA,"x",NA,NA,NA,"sub 1 on 36 1",NA,NA
