"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Stuart Barlow","Danny Boxall","Lee Duxbury","Shaun Garnett","Richard Graham","Bruce Grobbelaar","Doug Hodgson","Ian Ironside","Ronnie Jepson","Gary Kelly","Adrian Littlejohn","Sean McCarthy","Scott McNiven","Toddy Orlygsson","Ian Ormondroyd","Mike Pollitt","Steve Redmond","Paul Reid","Lloyd Richardson","Paul Rickers","Andy Ritchie","Matthew Rush","Carl Serrant","Lee Sinnott","Phil Starbuck","Neil Thompson","Tommy Wright","Andy Hughes","David McNiven","Andy Holt","Mark Allott","Lee Clitheroe","Mark Innes","Philip Salt","Alexandros Kiratzoglou","David Miskelly","Alan Johnson","Matthew Tipton","Mark Hotte"
"1",1997-08-09,"York City","3","1","league-division-2","H","",6474,NA,4,21,"C T Finch","Boundary Park","x g 46",NA,"x","x g 12",NA,NA,"x",NA,NA,"x",NA,"x","uu","x y",NA,NA,"x","x g 90",NA,"x","uu",NA,"x",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"2",1997-08-12,"Grimsby Town","1","0","league-cup","H","",5656,NA,NA,NA,"P R Richards","Boundary Park","x",NA,"x","x 2 off 66",NA,NA,"sub 2 on 66 2",NA,NA,"x",NA,NA,"sub 1 on 17 1","x",NA,NA,"x","x",NA,"x 1 off 17","x g 77",NA,"x","x",NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"3",1997-08-16,"Wrexham","1","3","league-division-2","A","",4407,NA,11,10,"A G Wiley","Racecourse Ground (WRX)","x",NA,"x","x","x",NA,"sub 1 on 78 1",NA,NA,"x",NA,"x 2 g 54 off 78","uu","x 1 off 78",NA,NA,"x","x",NA,NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"sub 2 on 78 2",NA,NA,NA,NA,NA,NA,NA,NA
"4",1997-08-23,"AFC Bournemouth","2","1","league-division-2","H","",4986,NA,5,4,"G Laws","Boundary Park","x 3 off 86",NA,"x y","x","x",NA,"sub 3 on 86 3",NA,NA,"x",NA,"x g 17 76","sub 1 on 65 1",NA,NA,NA,"x 2 off 77","x",NA,NA,NA,NA,"x","x",NA,NA,NA,"sub 2 on 77 2",NA,NA,"x 1 off 65",NA,NA,NA,NA,NA,NA,NA,NA
"5",1997-08-26,"Grimsby Town","0","5","league-cup","A","",5078,NA,NA,NA,"D Laws","Blundell Park","x",NA,"x 2 off 78","x y","x",NA,"sub 1 on 45 1 y","x",NA,NA,NA,"x","x",NA,NA,NA,"x","x y",NA,NA,NA,NA,"x","uu",NA,NA,NA,"x 1 off 45",NA,NA,"sub 2 on 78 2",NA,NA,NA,NA,NA,NA,NA,NA
"6",1997-08-30,"Luton Town","1","1","league-division-2","A","",6018,NA,8,12,"A N Butler","Kenilworth Road","x g 53",NA,"x","x red@49","x 2 off 72",NA,"x",NA,NA,NA,NA,NA,"x",NA,"sub 2 on 72 2","x","x 1 off 70","x y",NA,NA,NA,NA,"x","x",NA,NA,"sub 1 on 70 1 y",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"7",1997-09-02,"Burnley","0","0","league-division-2","A","",11189,NA,8,23,"Paul Robinson","Turf Moor","x",NA,NA,"x","x",NA,"x 1 off 62 y",NA,NA,NA,NA,"sub 1 on 62 1 y","x y",NA,NA,"x","x","x",NA,NA,NA,NA,"x","x",NA,NA,"uu",NA,NA,NA,"uu",NA,"x",NA,NA,NA,NA,NA,NA
"8",1997-09-09,"Preston North End","1","0","league-division-2","H","",8732,NA,6,9,"","Boundary Park","x",NA,NA,"x","x",NA,"uu",NA,NA,NA,NA,"x","x",NA,NA,"x","x","x",NA,NA,NA,NA,"x","x",NA,NA,"x 1 g 76 off 88",NA,NA,NA,"uu",NA,"sub 1 on 88 1",NA,NA,NA,NA,NA,NA
"9",1997-09-13,"Northampton Town","2","2","league-division-2","H","",5829,NA,5,3,"","Boundary Park","x 2 off 89",NA,NA,NA,"x g 12",NA,"x",NA,NA,NA,NA,"x y","x 1 g 35 off 80","sub 1 on 80 1",NA,"x","x","x",NA,NA,NA,NA,"x","x",NA,NA,"x",NA,NA,NA,"sub 2 on 89 2",NA,"uu",NA,NA,NA,NA,NA,NA
"10",1997-09-20,"Blackpool","2","2","league-division-2","A","",7174,NA,5,16,"R Pearson","Bloomfield Road","x g 43 68",NA,NA,"x","x",NA,"uu",NA,NA,NA,NA,"x","x","sub 1 on 63 1",NA,"x","x 1 off 63 y","x 2 off 78 y",NA,"sub 2 on 78 2",NA,NA,"x","x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1997-09-27,"Bristol Rovers","4","4","league-division-2","H","",5990,NA,5,4,"Anthony Bates","Boundary Park","x g 8 23 y",NA,"sub 2 on 45 2","x g 59","x y",NA,"uu",NA,NA,NA,NA,"x g 25","x",NA,NA,"x","x 2 off 45","x",NA,"sub 1 on 45 1",NA,NA,"x","x 1 off 45",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
