"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Lee Duxbury","Shaun Garnett","Richard Graham","Andy Gray","Doug Hodgson","Gary Kelly","Adrian Littlejohn","Paul Mardon","John McGinlay","Scott McNiven","Toddy Orlygsson","Paul Reid","Paul Rickers","Andy Ritchie","John Sheridan","Lee Sinnott","Nicky Spooner","Stuart Thom","Steve Whitehall","David McNiven","Andy Holt","Mark Allott","Ian McLean","Lee Clitheroe","Mark Innes","Philip Salt","David Miskelly","Matthew Tipton","Mark Hotte","Paul Beavers","Iain Swan","Danny Walsh","Ryan Sugden"
"1",1998-08-08,"Notts County","1","3","league-division-2","H","",5709,NA,20,4,"D Pugh","-","x",NA,"x",NA,NA,"x y","sub 2 on 55 2",NA,NA,"x","x","x y","x 2 off 55",NA,NA,"x",NA,NA,NA,"x","sub 1 on 45 1 g 90","x",NA,NA,"x 1 off 45","uu",NA,NA,NA,NA,NA,NA,NA
"2",1998-08-11,"Crewe Alexandra","3","2","league-cup","H","",3766,NA,NA,NA,"","-","x 1 off 54",NA,"x",NA,NA,"x","x g 20 y",NA,NA,"x","x","x g pen 23","x 2 off 65","uu",NA,"x",NA,NA,"sub 2 on 65 2","uu","x","x g 31",NA,NA,"uu","sub 1 on 54 1",NA,NA,NA,NA,NA,NA,NA
"3",1998-08-15,"Blackpool","0","3","league-division-2","A","",5258,NA,23,12,"G Laws","-","x",NA,"x",NA,NA,"x","x",NA,NA,"x","x","x","x 1 off 67",NA,NA,"x",NA,NA,"sub 1 on 67 1",NA,"x","x",NA,NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA
"4",1998-08-18,"Crewe Alexandra","0","2","league-cup","A","",3428,NA,NA,NA,"MIke Pike","-","x",NA,"x",NA,NA,"x","x 1 off 63",NA,NA,"x","x","x","x",NA,NA,"x",NA,NA,"sub 1 on 63 1",NA,"x","x y",NA,NA,"uu","uu","uu",NA,"uu",NA,NA,NA,NA
"5",1998-08-22,"Chesterfield","2","0","league-division-2","H","",4548,NA,20,17,"Mike Dean","-","x","x","x g 82 y",NA,NA,"x","x 1 off 53",NA,NA,"x","x 2 off 64","x","x",NA,NA,NA,NA,NA,"sub 1 on 53 1",NA,"x","x y",NA,NA,"uu","sub 2 on 64 2",NA,NA,NA,NA,NA,NA,NA
"6",1998-08-29,"Stoke City","0","2","league-division-2","A","",12306,NA,21,1,"G Cain","-","x","x","x",NA,NA,"x","x",NA,NA,"x","x","x","uu",NA,NA,"uu",NA,NA,"x",NA,"x","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"7",1998-08-31,"Fulham","1","1","league-division-2","H","",4744,NA,17,2,"S J Baines","-","x","x","x",NA,NA,"x","uu",NA,NA,"x","x","x","x",NA,NA,"uu",NA,NA,"x",NA,"x","x g 61",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"8",1998-09-05,"Lincoln City","3","1","league-division-2","A","",3224,NA,16,20,"R Pearson","-","x","x","x g 28",NA,NA,"x","x g 34",NA,NA,"x","x","x","x",NA,NA,"uu",NA,NA,NA,"uu","x","x g 71",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"9",1998-09-08,"Macclesfield Town","1","2","league-division-2","H","",5401,NA,17,22,"G B Frankland","-","x","x y","x",NA,NA,"x","x g 11",NA,NA,"x","x red@64","x y","x y",NA,NA,"uu",NA,NA,NA,"sub 1 on 74 1","x 1 off 74","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"10",1998-09-12,"Northampton Town","1","1","league-division-2","A","",5210,NA,17,20,"P Rejer","Sixfields Stadium","x g 45","x",NA,NA,NA,"x","x",NA,NA,"x","x","x","x",NA,NA,"sub 1 on 81 1",NA,NA,"x 1 off 81","uu","x y","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
