"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Neil Adams","Lee Duxbury","Shaun Garnett","Richard Graham","Gary Kelly","Scott McNiven","Paul Rickers","John Sheridan","Stuart Thom","Steve Whitehall","David McNiven","Andy Holt","Mark Allott","Ian McLean","Craig Dudley","Mark Innes","Junior Agogo (mer)","Philip Salt","David Miskelly","Matthew Tipton","Mark Hotte","Paul Beavers","Iain Swan","John Mohan","Danny Walsh","Ryan Sugden","Jordan Tait","Ben Futcher","Paul Jones","Danny Boshell"
"1",1999-08-07,"Preston North End","0","1","league-division-2","H","",9432,NA,23,8,"Mike Jones","Boundary Park","x","x y","x",NA,"x","x","x","x",NA,NA,NA,"x","x","uu",NA,"x 1 off 83","x","uu","uu","sub 1 on 83 1",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"2",1999-08-10,"Stockport County","0","2","league-cup","A","",3017,NA,NA,NA,"R D Furnandiz","Edgeley Park","x","x","x",NA,"x","x","uu","x","x",NA,NA,"x","x 2 off 76",NA,NA,"x",NA,"uu","uu","x 1 off 62",NA,"sub 1 on 62 1",NA,NA,NA,"sub 2 on 76 2",NA,NA,NA,NA
"3",1999-08-14,"Brentford","0","2","league-division-2","A","",5074,NA,23,4,"R Styles","Griffin Park","x","x","x",NA,"x","x","x","x",NA,NA,NA,"x","sub 1 on 64 1","uu",NA,"x 2 off 73","x","uu","uu",NA,NA,"x 1 off 64",NA,NA,NA,"sub 2 on 73 2",NA,NA,NA,NA
"4",1999-08-21,"Burnley","0","1","league-division-2","H","",8543,NA,23,4,"Chris Foy","Boundary Park","x 2 off 78",NA,"x y",NA,"x","x","x","x y",NA,NA,"x","x","sub 1 on 57 1","x",NA,"x",NA,"uu","uu","sub 2 on 78 2",NA,"x 1 off 57",NA,NA,NA,"uu",NA,NA,NA,NA
"5",1999-08-24,"Stockport County","1","1","league-cup","H","",2750,NA,NA,NA,"E K Wolstenholme","Boundary Park","x",NA,"x",NA,"uu","x","x","sub 3 on 71 3",NA,NA,"x","x","sub 2 on 71 2 g 85",NA,NA,"x 1 off 67",NA,"x","x","uu",NA,NA,"x 2 off 71 y",NA,NA,"x 3 off 71","sub 1 on 67 1",NA,NA,NA
"6",1999-08-28,"Oxford United","0","1","league-division-2","A","",5098,NA,24,11,"M D Messias","Manor Ground (OXF)","x y","x 3 off 75","x",NA,"x","x","x","x",NA,NA,"x 1 off 58","x","x",NA,NA,"sub 2 on 63 2",NA,"x 2 off 63","uu","uu",NA,"sub 1 on 58 1 y",NA,NA,NA,NA,"sub 3 on 75 3",NA,NA,NA
"7",1999-09-04,"Gillingham","1","2","league-division-2","A","",5884,NA,24,17,"P Rejer","Priestfield Stadium","x","x y","x",NA,"x","x g 88","x","x",NA,"sub 1 on 34 1",NA,"x","x y",NA,NA,"x 2 off 56",NA,NA,NA,"sub 2 on 56 2",NA,"x 1 off 34",NA,"uu",NA,"uu","uu",NA,NA,NA
"8",1999-09-11,"Bury","2","0","league-division-2","H","",6541,NA,24,11,"D Pugh","Boundary Park","x","x g 81","x 1 off 61","sub 1 on 61 1","x y","x y","x","x",NA,"x 3 off 88",NA,"x","x g 62",NA,NA,"sub 2 on 82 2",NA,NA,"uu","x 2 off 82 y",NA,NA,NA,NA,NA,"sub 3 on 88 3","uu",NA,NA,NA
"9",1999-09-18,"Bristol Rovers","2","3","league-division-2","A","",6574,NA,24,2,"D R Crick","The Memorial Stadium","x","x",NA,NA,"x","x","x","x g 3","x y","x 1 off 76",NA,"x","x g 70",NA,NA,"uu",NA,NA,"uu","x","uu",NA,"uu",NA,NA,"sub 1 on 76 1",NA,NA,NA,NA
"10",1999-09-25,"Reading","1","1","league-division-2","A","",7274,NA,24,18,"Paul Robinson","Madejski Stadium","x","x",NA,"x","x","x","x","x","x",NA,NA,"x","x 1 g 69 off 82",NA,"sub 1 on 82 1","uu",NA,NA,"uu","x","uu",NA,NA,NA,NA,NA,NA,"uu",NA,NA
"11",1999-10-02,"Notts County","1","2","league-division-2","H","",5143,NA,24,5,"R Pearson","Boundary Park","x","x",NA,"x","x","x","x","x","x g 45",NA,"sub 2 on 82 2","x","x 2 off 82",NA,"sub 1 on 60 1","uu",NA,NA,"uu","x 1 off 60","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1999-10-09,"Luton Town","2","1","league-division-2","H","",4532,NA,21,10,"M Cowburn","Boundary Park","x","x",NA,"x","x","x","x","x","x 1 off 86",NA,"x g 66","x","x g 90",NA,NA,"uu",NA,NA,"uu","uu","sub 1 on 86 1",NA,NA,NA,NA,"uu",NA,NA,NA,NA
"13",1999-10-16,"Cardiff City","1","1","league-division-2","A","",5650,NA,21,16,"Bill Jordan","Ninian Park","x 2 off 88 y","x",NA,"x g 17","x","x","x y","x y",NA,"sub 1 on 69 1",NA,"x","x",NA,"x 1 off 69",NA,NA,NA,"uu","uu","x",NA,NA,NA,NA,NA,"uu","sub 2 on 88 2",NA,NA
"14",1999-10-19,"Blackpool","2","1","league-division-2","A","",3845,NA,18,24,"G Cain","Bloomfield Road","x 1 off 86","x g 64",NA,"x","x","x","x",NA,NA,"sub 1 on 86 1",NA,"x","x g 90",NA,"x","x",NA,NA,"uu","uu","x",NA,NA,NA,NA,NA,"uu","uu",NA,NA
"15",1999-10-23,"Reading","1","2","league-division-2","H","",4963,NA,20,17,"Phil Joslin","Boundary Park","x","x",NA,"x","x","x y","x",NA,NA,"sub 1 on 74 1 y",NA,"x 1 off 45","x",NA,"x g 20","x",NA,NA,"uu","uu","x y",NA,NA,NA,NA,"uu",NA,"uu",NA,NA
"16",1999-10-30,"Chelmsford City","4","0","fa-cup","H","",4392,NA,NA,NA,"A N Butler","Boundary Park","x","x g 70",NA,"x 3 off 72","x","x","x","x g 29",NA,"sub 1 on 60 1 g 83",NA,NA,"x 2 off 62","uu","x 1 g 28 off 60","x",NA,NA,"uu","sub 2 on 62 2","x",NA,NA,NA,NA,NA,NA,"sub 3 on 72 3",NA,NA
