"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Neil Adams","Tony Carss","Carlo Corazzin","Lee Duxbury","David Eyres","Shaun Garnett","Gary Kelly","Chris Lightfoot","Scott McNiven","Barry Prenderville","Paul Rickers","Andy Ritchie","John Sheridan","Paul Smith","Mark Watson","Steve Whitehall","Andy Holt","Mark Allott","Neville Roach","Craig Dudley","Mark Innes","Philip Salt","David Miskelly","Matthew Tipton","Mark Hotte","Danny Walsh","Ryan Sugden","Ben Futcher","Paul Jones","Danny Boshell","Jamie Campbell","Sam Parkin"
"1",2000-08-12,"Port Vale","4","1","league-division-2","H","",5639,NA,1,24,"Mike Dean","Boundary Park","x 1 g 29 off 77",NA,"x g 69","x",NA,"x g 72","x",NA,NA,NA,"x",NA,"x 2 off 83",NA,NA,NA,"x","x g 36",NA,NA,"sub 1 on 77 1",NA,"uu","uu","x",NA,NA,"uu","x","sub 2 on 83 2",NA,NA
"2",2000-08-19,"Walsall","2","3","league-division-2","A","",5952,NA,6,2,"G B Frankland","Banks's Stadium","x 1 g 40 off 81",NA,"x","x g 44",NA,"x","x",NA,"sub 1 on 81 1",NA,"x",NA,NA,NA,NA,"uu","x","x",NA,NA,"x",NA,"uu","uu","x",NA,NA,NA,"x","uu",NA,NA
"3",2000-08-22,"Huddersfield Town","1","0","league-cup","H","",4255,NA,NA,NA,"G Cain","Boundary Park","x",NA,"x g 24","x",NA,"x y","x",NA,"uu",NA,"x",NA,NA,NA,NA,"uu","x","x 2 off 79",NA,NA,"sub 1 on 76 1",NA,"uu","sub 2 on 79 2","x",NA,NA,NA,"x y","x 1 off 76",NA,NA
"4",2000-08-26,"Peterborough United","1","4","league-division-2","H","",4967,NA,15,2,"D Pugh","Boundary Park","x 3 off 82",NA,"x","x",NA,"x","x",NA,"sub 1 on 41 1",NA,"x",NA,NA,NA,NA,"sub 3 on 82 3","x","x",NA,NA,"uu",NA,"uu","sub 2 on 66 2 g 81","x 1 off 41",NA,NA,NA,"x y","x 2 off 66",NA,NA
"5",2000-08-29,"Colchester United","1","1","league-division-2","A","",3675,NA,17,12,"Keith Hill","Layer Road",NA,NA,"x","x y",NA,"x","x",NA,"x y",NA,"x",NA,NA,NA,NA,"sub 3 on 86 3","x g 52","x 3 off 86",NA,"x 2 off 82","sub 1 on 54 1",NA,NA,"sub 2 on 82 2 y",NA,NA,NA,"uu","x","x 1 off 54 y","uu",NA
"6",2000-09-02,"Notts County","0","1","league-division-2","H","",4424,NA,19,3,"U D Rennie","Boundary Park","x",NA,NA,"x",NA,"x y","x",NA,"x",NA,"x 2 off 52",NA,NA,NA,NA,"uu","x","x 3 off 69",NA,"sub 2 on 52 2","x",NA,"uu","x","sub 1 on 52 1",NA,NA,NA,"x 1 off 52","sub 3 on 69 3",NA,NA
"7",2000-09-05,"Huddersfield Town","2","0","league-cup","A","",4979,NA,NA,NA,"Phil Joslin","John Smith's Stadium","x",NA,"x 1 off 83","x",NA,"x","x",NA,"x",NA,"x g 40 65",NA,NA,NA,NA,"sub 1 on 83 1","x","x",NA,"uu","sub 2 on 90 2",NA,"uu","sub 3 on 90 3","x",NA,NA,NA,"x",NA,NA,NA
"8",2000-09-09,"Wrexham","1","3","league-division-2","A","",3527,NA,20,16,"Phil Dowd","Racecourse Ground (WRX)","x",NA,"x g 83","x",NA,"x y red@68","x",NA,"x","uu","x",NA,NA,NA,NA,NA,"x","x 2 off 71",NA,"sub 1 on 55 1","uu",NA,"uu","sub 2 on 71 2","x y red@90",NA,NA,NA,"x 1 off 55 y",NA,NA,NA
"9",2000-09-12,"Reading","0","5","league-division-2","A","",7768,NA,21,4,"D R Crick","Madejski Stadium","x",NA,"x","x",NA,NA,"x 1 off 45",NA,"x","sub 2 on 54 2","x",NA,NA,NA,NA,NA,"x","x 3 off 54",NA,"sub 3 on 54 3","uu",NA,"sub 1 on 45 1","uu","x 2 off 54",NA,NA,NA,"x","x",NA,NA
"10",2000-09-16,"Bristol City","0","0","league-division-2","H","",4095,NA,21,22,"D Laws","Boundary Park","x",NA,"x","x",NA,NA,"x","x 1 off 60","x","sub 3 on 90 3","x",NA,NA,NA,NA,NA,NA,"x 2 off 60",NA,"uu","x",NA,"uu","sub 2 on 60 2","sub 1 on 60 1",NA,NA,NA,"x","x",NA,NA
"11",2000-09-19,"Sheffield Wednesday","1","3","league-cup","H","",3213,NA,NA,NA,"M A Riley","Boundary Park",NA,NA,"x","x",NA,NA,"x","x 3 off 80","x","sub 3 on 80 3",NA,NA,NA,NA,NA,NA,"x","sub 1 on 34 1",NA,"x","x","sub 2 on 72 2","uu","x 1 off 34 y","uu",NA,NA,NA,"x","x 2 g 20 off 72",NA,NA
"12",2000-09-23,"AFC Bournemouth","1","1","league-division-2","A","",3976,NA,22,16,"D R Elleray","Dean Court","x",NA,"x 2 off 76","x",NA,NA,"x","x","x","sub 1 on 68 1",NA,NA,NA,"x 1 off 68","uu",NA,"x","x g 11",NA,"sub 2 on 76 2","x","uu","uu",NA,NA,NA,NA,NA,NA,"x",NA,NA
"13",2000-09-27,"Sheffield Wednesday","1","5","league-cup","A","",4773,NA,NA,NA,"P R Richards","Hillsborough",NA,NA,NA,"x 2 g 25 off 70 y",NA,NA,"x",NA,"x","x 1 off 55",NA,NA,NA,"x","x",NA,"x","x y",NA,"x","x","sub 2 on 70 2","uu","sub 1 on 55 1",NA,NA,"sub 3 on 78 3",NA,"uu","x 3 off 78",NA,NA
"14",2000-09-30,"Cambridge United","1","3","league-division-2","H","",3888,NA,23,5,"Alan Kaye","Boundary Park","x",NA,"x","x",NA,NA,"x","x 2 off 65","x",NA,NA,NA,NA,"x","sub 1 on 60 1",NA,"x y","sub 3 on 71 3",NA,"x 3 off 71","x","uu","uu","sub 2 on 65 2",NA,NA,NA,NA,NA,"x 1 off 60",NA,NA
"15",2000-10-08,"Rotherham United","0","3","league-division-2","A","",3774,NA,23,8,"P Rejer","Millmoor","x",NA,NA,"x",NA,"x y","x","uu","x 1 off 46",NA,NA,NA,NA,"sub 1 on 46 1","x y",NA,"x y","sub 2 on 64 2",NA,"x 2 off 64",NA,"x",NA,"x","x",NA,NA,NA,NA,"uu","uu",NA
"16",2000-10-14,"Swindon Town","1","0","league-division-2","H","",4009,NA,22,19,"S J Baines","-","x","x",NA,"x","x","x","x",NA,"x y",NA,NA,NA,NA,"x","uu",NA,"uu","uu",NA,"x g 72 y red@89","x",NA,"uu",NA,"x y",NA,NA,NA,NA,"sub 1 on 90 1",NA,NA
