"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Dele Adebola","Matty Appleby","Stuart Balmer","Tony Carss","Carlo Corazzin","Lee Duxbury","John Eyre","David Eyres","Shaun Garnett","Wayne Gill","Andy Goram","Gary Kelly","Scott McNiven","Paul Murray","Barry Prenderville","David Reeves","Paul Rickers","Darren Sheridan","John Sheridan","Allan Smart","Paul Shepherd","Mark Allott","Craig Dudley","Michael Clegg","Mark Innes","David Miskelly","Matthew Tipton","Mark Hotte","Dean Holden","David Beharall","Chris Armstrong","Paul Rachubka","Danny Boshell","Marc Richards","Lee Hardy","Julian Baudet","Thomas Whittle","Will Haining","Cristian Colusso","Colin Hall","Fitz Hall","Adam Griffin"
"1",2001-08-11,"Wrexham","3","3","league-division-2","A","",4881,NA,9,10,"B Curson","Racecourse Ground (WRX)",NA,NA,"x","sub 1 on 68 1","sub 3 on 80 3 g 90","x",NA,"sub 2 on 69 2 g 73","x y",NA,NA,"x","x",NA,NA,NA,"x 2 off 69","x y","x",NA,NA,"x 3 g 38 off 80",NA,NA,NA,"uu","x y","uu",NA,NA,NA,NA,"x 1 off 68",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2001-08-18,"Chesterfield","1","1","league-division-2","H","",5534,NA,15,21,"Howard Webb","Boundary Park",NA,NA,"x","x",NA,"x",NA,"sub 3 on 78 3","x 1 off 27",NA,NA,"x","x",NA,"sub 1 on 27 1",NA,"sub 2 on 71 2","x","x 2 off 71",NA,NA,"x g 33",NA,NA,NA,"uu","x 3 off 78",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2001-08-22,"Stoke City","0","0","league-cup","A","",5636,NA,NA,NA,"Alan Kaye","bet365 Stadium",NA,NA,"x","x",NA,"x","x 2 off 67","x 1 off 67",NA,NA,NA,"x","x",NA,"x",NA,"x 3 off 115","x",NA,NA,NA,NA,"sub 2 on 67 2",NA,"sub 1 on 67 1","uu","x y","sub 3 on 115 3",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2001-08-25,"Swindon Town","2","0","league-division-2","A","",5219,NA,10,23,"P Armstrong","The County Ground",NA,NA,"x 2 g 39 off 78 y","x",NA,"x","x 3 off 89","sub 1 on 68 1","sub 2 on 78 2",NA,NA,"x","x y",NA,"x",NA,"x","x","x 1 g 17 off 68",NA,NA,"x",NA,NA,NA,"uu","sub 3 on 89 3","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2001-08-28,"Northampton Town","4","2","league-division-2","H","",4941,186,6,24,"G Stretton","Boundary Park",NA,NA,"x 3 g 6 off 82","x",NA,"x g 63","x 2 off 72","sub 1 on 67 1","sub 3 on 82 3",NA,NA,"x","x",NA,"x",NA,"x g 35","x","x 1 off 67",NA,NA,"x",NA,NA,NA,"uu","sub 2 on 72 2 g 78",NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"6",2001-09-01,"Tranmere Rovers","2","2","league-division-2","A","",8716,NA,5,15,"M Fletcher","Prenton Park",NA,NA,"x","x",NA,"x y","x g 33","sub 2 on 76 2","sub 1 on 76 1",NA,NA,"x","x",NA,"x 1 off 76 y",NA,"x y","x g 12 y","x 2 off 76",NA,NA,"x",NA,NA,NA,NA,"uu","uu",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2001-09-08,"Blackpool","2","1","league-division-2","H","",6650,NA,4,18,"Michael Ryan","Boundary Park",NA,NA,"x","x","uu","x g 88 y","x 3 off 84 y","sub 3 on 84 3","sub 2 on 83 2",NA,NA,"x","x y",NA,"x",NA,"x 2 off 83","x g 30 y","x",NA,NA,"x 1 off 74 y",NA,NA,NA,"uu","sub 1 on 74 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2001-09-12,"Blackburn Rovers","0","2","league-cup","A","",9559,NA,NA,NA,"Anthony Bates","Ewood Park",NA,NA,"x 2 off 65",NA,"sub 1 on 60 1","x 3 off 73","x","x y","x",NA,NA,"x","x",NA,"x",NA,"x","x y red@84","uu",NA,NA,"x 1 off 60",NA,NA,NA,"uu","sub 3 on 73 3","sub 2 on 65 2 y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2001-09-15,"Peterborough United","2","0","league-division-2","H","",4855,NA,1,14,"Anthony Leake","Boundary Park",NA,NA,"x",NA,"sub 2 on 60 2","x","x 2 off 60","x","x",NA,NA,"x","x",NA,"uu",NA,"x","x","x 3 off 81",NA,NA,"x 1 off 60","sub 3 on 81 3",NA,NA,"uu","sub 1 on 60 1 g pen 90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2001-09-18,"Colchester United","1","2","league-division-2","A","",2991,NA,5,2,"P E Alcock","Layer Road",NA,NA,"x",NA,"sub 2 on 53 2","x","x","x g 81","x 1 off 12",NA,NA,"x","x",NA,"sub 1 on 12 1",NA,"x 3 off 64","x y","x red@71",NA,NA,"x 2 off 53","sub 3 on 64 3",NA,NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
