"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Matty Appleby","Stuart Balmer","Tony Carss","Carlo Corazzin","Lee Duxbury","John Eyre","David Eyres","Paul Murray","Darren Sheridan","John Sheridan","Wayne Andrews","Josh Low","Clint Hill","Michael Clegg","David Miskelly","Clyde Wijnhard","Dean Holden","David Beharall","Chris Killen","Chris Armstrong","Danny Boshell","Ben Burgess","Laurenco Da Silva","Brian Murphy","Julian Baudet","Will Haining","Fitz Hall","Adam Griffin","Les Pogliacomi","Scott Vernon","Danny Hall","Duncan Roberts"
"1",2002-08-10,"Cardiff City","1","2","league-division-2","H","",8033,NA,17,9,"E K Wolstenholme","-","x","uu","x 2 off 70","sub 1 on 60 1 y","sub 3 on 80 3 g 90","x","x",NA,NA,"x 3 off 80",NA,NA,NA,"x","uu",NA,NA,"x","x 1 off 60",NA,NA,NA,"sub 2 on 70 2",NA,"x y",NA,"x y",NA,"x",NA,NA,NA
"2",2002-08-13,"Peterborough United","1","0","league-division-2","A","",5204,NA,14,13,"R Olivier","London Road","x",NA,"sub 2 on 79 2","x 2 off 79 y","sub 3 on 84 3","x","x",NA,NA,"x 3 off 84",NA,"uu","x","x","uu",NA,NA,"x","x 1 g 62 off 69",NA,NA,NA,"sub 1 on 69 1",NA,NA,NA,"x",NA,"x",NA,NA,NA
"3",2002-08-17,"Brentford","0","0","league-division-2","A","",5356,NA,12,4,"M Fletcher","Griffin Park","x y",NA,"sub 2 on 61 2","x","sub 1 on 58 1","x 3 off 76","x",NA,NA,"x 2 off 61",NA,"sub 3 on 76 3 y","x","x","uu",NA,NA,"x","x 1 off 58",NA,NA,NA,"uu",NA,NA,NA,"x y red@60",NA,"x",NA,NA,NA
"4",2002-08-24,"Tranmere Rovers","2","0","league-division-2","H","",5933,NA,9,8,"G Laws","Boundary Park","x",NA,"sub 2 on 77 2","sub 1 on 66 1","x 2 off 77",NA,"sub 3 on 82 3",NA,NA,"uu",NA,"x y","x g 69 y","x",NA,"x 3 g 77 off 82",NA,"x","x 1 off 66",NA,NA,NA,NA,NA,"uu",NA,"x y",NA,"x",NA,NA,NA
"5",2002-08-26,"Blackpool","0","0","league-division-2","A","",8201,NA,7,6,"Anthony Leake","Bloomfield Road","x y red@90",NA,"uu","sub 3 on 74 3","x","uu","x y",NA,"sub 1 on 56 1",NA,NA,"x 2 off 62","x","x 1 off 56 y",NA,"x",NA,"x","x 3 off 74",NA,NA,NA,NA,NA,"sub 2 on 62 2",NA,"x",NA,"x",NA,NA,NA
"6",2002-08-31,"Wycombe Wanderers","0","2","league-division-2","H","",5963,203,14,9,"Alan Kaye","Boundary Park","x y",NA,"uu","sub 1 on 45 1",NA,NA,"x",NA,NA,"sub 2 on 56 2","sub 3 on 76 3","x 3 off 76","x","x 2 off 56","uu","x",NA,"x","x 1 off 45",NA,NA,NA,"x",NA,"x",NA,NA,NA,"x",NA,NA,NA
"7",2002-09-07,"Notts County","3","1","league-division-2","A","",5435,NA,10,20,"Anthony Bates","Meadow Lane","x",NA,"sub 2 on 89 2","sub 1 on 83 1",NA,"x","x g 34",NA,"x 2 g 36 off 89",NA,NA,"x","x",NA,"uu","x 1 off 83",NA,"x","x g 65",NA,NA,NA,"uu",NA,"uu",NA,"x y",NA,"x",NA,NA,NA
"8",2002-09-10,"Notts County","3","2","league-cup","H","",4205,NA,NA,NA,"P Rejer","Boundary Park",NA,NA,"x g 45","sub 2 on 81 2",NA,NA,"x",NA,"sub 1 on 60 1","x","uu","x","x","uu","x","x g 81",NA,"x 1 off 60","x 2 g 10 off 81",NA,NA,NA,"uu",NA,"x",NA,"x",NA,NA,NA,NA,NA
"9",2002-09-14,"Mansfield Town","6","1","league-division-2","H","",5490,NA,5,23,"Richard Beeby","Boundary Park","x 1 off 73",NA,"sub 1 on 73 1","x g 80","sub 3 on 77 3","x","x",NA,"x",NA,"sub 2 on 73 2 g pen 84","x 3 off 77","x",NA,"uu","x 2 g 10 pen 26 36 70 off 73",NA,"x",NA,NA,NA,NA,NA,NA,"uu",NA,"x",NA,"x",NA,NA,NA
"10",2002-09-17,"Bristol City","1","0","league-division-2","H","",5583,NA,3,6,"C Webster","Boundary Park","x",NA,"uu","x 2 off 75","sub 1 on 73 1 y","x","x",NA,"x",NA,"sub 2 on 75 2","x 1 off 73","x",NA,"uu","x g 70",NA,"x",NA,NA,NA,NA,NA,NA,"uu",NA,"x",NA,"x",NA,NA,NA
