"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Mark Bonner","John Eyre","David Eyres","Paul Murray","Darren Sheridan","John Sheridan","Dean Crowe","Michael Clegg","Dean Holden","David Beharall","Steve Corry","Chris Killen","Danny Boshell","Jermaine Johnson","Mark Hudson","Matt O&#039;Halloran","Gareth Owen","Will Haining","Adam Griffin","Les Pogliacomi","Adam Collin","Mickael Antoine-Curier","Scott Vernon","Ernie Cooksey","Danny Hall","Calvin Zola","Chris Grange","Marc Tierney","Rob Walker","Carlos Roca","Kangana Lord Ndiwa","David Carney","Christopher Hall","Craig Fleming","Steven Schumacher","Keiren Westwood","Matthew Wolfenden","Wes Wilkinson","Kelvin Lomax","Matty Barlow"
"1",2003-08-09,"Brighton &amp; Hove Albion","1","3","league-division-2","H","",6522,NA,NA,NA,"Eddie Ilderton","Boundary Park",NA,"x",NA,"x g 82","x",NA,NA,NA,NA,NA,NA,"x 1 off 30","x 3 off 66",NA,NA,"sub 3 on 66 3",NA,"x 2 off 42",NA,"x",NA,"sub 1 on 30 1 y","x",NA,"x",NA,"uu","uu","x","sub 2 on 42 2","x y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2003-08-12,"Scunthorpe United","1","2","league-cup","A","",2366,NA,NA,NA,"C Webster","Glanford Park",NA,"x",NA,"x","x red@44","sub 3 on 80 3",NA,NA,NA,NA,NA,NA,"x y red@45",NA,NA,"sub 2 on 67 2",NA,"x",NA,"x",NA,"x 3 g 61 off 80","x 2 off 67",NA,"x",NA,"uu","x","uu","x 1 off 49",NA,"sub 1 on 49 1",NA,NA,NA,NA,NA,NA,NA,NA
"3",2003-08-16,"Sheffield Wednesday","2","2","league-division-2","A","",24630,NA,20,5,"Richard Beeby","Hillsborough",NA,"x",NA,"x","x y","x g pen 6",NA,"x","sub 1 on 69 1",NA,NA,NA,NA,NA,NA,"x 1 off 69",NA,"x",NA,"x",NA,"x 2 g 55 off 75","sub 2 on 75 2",NA,"x y red@90",NA,"uu","uu",NA,"uu","x y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2003-08-23,"Blackpool","2","3","league-division-2","H","",6745,NA,20,10,"Alan Kaye","Boundary Park",NA,"x 1 g 1 off 36","x","x","x","x 2 off 64",NA,"x 3 off 71","x",NA,NA,NA,"sub 2 on 64 2",NA,NA,NA,NA,NA,NA,"x",NA,"x g 90","sub 1 on 36 1",NA,"x",NA,"uu","uu",NA,"sub 3 on 71 3","x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2003-08-25,"Brentford","1","2","league-division-2","A","",4073,NA,21,19,"Iain Williamson","Griffin Park",NA,"x y","x","x y","x y","sub 2 on 80 2",NA,"uu","x g 17 y",NA,NA,NA,NA,NA,"x",NA,NA,"x y",NA,"x",NA,"x 3 off 84","sub 1 on 67 1","x 1 off 67","x 2 off 80",NA,"uu",NA,NA,NA,"sub 3 on 84 3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2003-08-30,"AFC Rushden & Diamonds","3","2","league-division-2","H","",5469,NA,NA,NA,"M Cooper","Boundary Park",NA,"x","x","x",NA,"x 3 g pen 11 off 86",NA,"x 2 off 85","x",NA,NA,NA,NA,NA,"x y","sub 2 on 85 2 g 90",NA,"x g 75 y",NA,"x","uu","x 1 off 76","sub 1 on 76 1","x",NA,NA,NA,NA,NA,"sub 3 on 86 3","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2003-09-06,"Hartlepool United","0","0","league-division-2","A","",5728,NA,19,12,"Andy Penn","Victoria Park",NA,"x","x","x",NA,"x",NA,"sub 1 on 43 1","x y",NA,NA,NA,"uu",NA,"x","sub 3 on 89 3",NA,"x 1 off 43",NA,"x","uu","x 2 off 62","sub 2 on 62 2",NA,"x","x 3 off 89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2003-09-13,"Bristol City","1","1","league-division-2","H","",5921,NA,19,9,"C Webster","Boundary Park",NA,"x y","x y","x",NA,"x 2 off 76",NA,"x","x y",NA,NA,NA,"uu",NA,"x","sub 3 on 84 3",NA,NA,NA,"x","uu","sub 1 on 65 1","x 1 off 65","sub 2 on 76 2","x y","x 3 g 54 off 84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2003-09-16,"Barnsley","1","1","league-division-2","A","",10102,NA,19,5,"P S Danson","Oakwell",NA,"x y","x y","x y","sub 1 on 71 1","x 1 off 71 y",NA,"x y","x y",NA,NA,"sub 3 on 81 3",NA,NA,"x y",NA,NA,NA,NA,"x","uu","sub 2 on 80 2","x 3 g 65 off 81","uu","x","x 2 off 80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2003-09-20,"Wycombe Wanderers","5","2","league-division-2","A","",4725,384,17,23,"L Cable","Causeway Stadium",NA,"x","x","x g 1 85","sub 2 on 63 2","x 2 off 63",NA,"x","x y",NA,NA,"sub 1 on 61 1 g pen 75 y",NA,NA,"x","sub 3 on 77 3",NA,NA,NA,"x","uu",NA,"x 3 off 77","uu","x g 16","x 1 g 21 off 61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
