"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Matty Appleby","Mark Bonner","John Eyre","David Eyres","Rodney Jack","Rob Lee","Steve Mildenhall","Luke Beckett","Guy Branston","Mark Arber","Delroy Facey","Craig Mawson","Kevin Betsy","Aaron Wilbraham","Dean Holden","David Beharall","Chris Killen","Danny Boshell","Bertrand Bossu","Jermaine Johnson","David Lee","Gareth Owen","Will Haining","Adam Griffin","Les Pogliacomi","Scott Vernon","Ernie Cooksey","Danny Hall","Marc Tierney","Christopher Hall","Matthew Wolfenden","Wes Wilkinson","Kelvin Lomax","Matty Barlow","Charles Treacy","Ashley Winn","Chris Lever","Neil Kilkenny","Mark Hughes","Lee Croft","Amadou Sanokho","Alex Bruce","Kenny Cooper","Stefan Stam"
"1",2004-08-07,"Luton Town","1","2","league-one","A","",6634,697,18,7,"Kevin Wright","Kenilworth Road","sub 1 on 63 1","x","x","uu","x 3 off 81",NA,NA,NA,NA,"x",NA,NA,NA,NA,"x","uu",NA,"sub 2 on 74 2",NA,"x",NA,NA,"x g 10","x","x","x 1 off 63","x 2 off 74",NA,NA,NA,NA,NA,NA,"sub 3 on 81 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2004-08-10,"Wrexham","2","3","league-one","H","",6143,653,23,3,"P Prosser","Boundary Park","x","x","x 2 off 72 y","sub 2 on 72 2","x g 79",NA,NA,NA,NA,"x",NA,NA,NA,NA,"x y","uu",NA,"sub 1 on 46 1 g 71 y",NA,"x",NA,NA,"x","x","x","x 1 off 46",NA,NA,"uu",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2004-08-14,"Walsall","5","3","league-one","H","",5654,625,16,14,"C Webster","Boundary Park","sub 1 on 77 1","x","x","x g 42 45","x g 54",NA,NA,NA,NA,"x y",NA,"uu",NA,NA,"x g 50","uu",NA,"x 1 off 77",NA,"x 2 off 86",NA,NA,"x","x g 90","x",NA,NA,NA,"uu",NA,NA,NA,NA,"sub 2 on 86 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2004-08-21,"Hull City","0","2","league-one","A","",16916,1195,20,2,"Nigel Miller","KCOM Stadium","sub 2 on 71 2","x y","x","x","x 2 off 71",NA,NA,NA,NA,"x",NA,"uu",NA,NA,"x","uu",NA,"x",NA,"x 1 off 45",NA,NA,"x y","x","x",NA,NA,NA,"uu",NA,NA,NA,NA,"sub 1 on 45 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2004-08-24,"Stoke City","2","1","league-cup","H","",2861,336,NA,NA,"Trevor Parkes","Boundary Park",NA,"x","x g pen 76","x g 72 y",NA,NA,NA,NA,NA,"x",NA,"uu",NA,NA,"x","sub 1 on 45 1","x 2 off 69 y","x y",NA,"x",NA,NA,"x 1 off 45","x","x",NA,NA,"uu","uu",NA,NA,NA,NA,"sub 2 on 69 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2004-08-28,"Milton Keynes Dons","3","0","league-one","H","",5066,88,16,23,"Trevor Kettle","Boundary Park",NA,"x","x 3 off 81","x","sub 2 on 78 2",NA,NA,NA,NA,"x g 61",NA,"uu",NA,NA,"x","uu","x 1 g 43 off 74","x y",NA,"x 2 g 39 off 78",NA,NA,"x","x","x",NA,NA,"sub 3 on 81 3",NA,NA,NA,NA,NA,"sub 1 on 74 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2004-08-30,"Sheffield Wednesday","1","1","league-one","A","",21530,1233,15,9,"Andy Penn","Hillsborough","uu","x","x","x","x",NA,NA,NA,NA,"x y",NA,"uu",NA,NA,"x","uu",NA,"x",NA,"x 1 g 75 off 87 y",NA,NA,"x","x","x",NA,NA,"uu",NA,NA,NA,NA,NA,"sub 1 on 87 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2004-09-11,"Hartlepool United","3","2","league-one","H","",5805,485,16,15,"Phil Joslin","Boundary Park","uu","x 1 off 61","x g 43","x",NA,NA,NA,NA,NA,"x",NA,"uu","x g 60",NA,"x y","uu","x 2 off 83","x",NA,"sub 1 on 61 1 g 82",NA,NA,"x","x","x",NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 83 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2004-09-14,"Tranmere Rovers","0","2","league-one","A","",8437,701,16,3,"Alan Kaye","Prenton Park","uu",NA,"x","x","sub 2 on 77 2",NA,NA,NA,NA,"x y",NA,"sub 1 on 14 1","x",NA,"x","uu","x 2 off 77","x",NA,"x",NA,NA,"x","x","x 1 off 14",NA,NA,NA,NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2004-09-18,"Doncaster Rovers","1","1","league-one","A","",6774,816,17,9,"Paul Robinson","Belle Vue","sub 1 on 58 1",NA,"x y","x 2 off 65","sub 2 on 65 2",NA,NA,NA,NA,"x y",NA,"x","x",NA,"x y","uu","x","x 1 off 58",NA,"x g 39 y",NA,NA,"x","x",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2004-09-22,"Tottenham Hotspur","0","6","league-cup","H","",8548,1507,NA,NA,"Richard Beeby","Boundary Park","x",NA,"x 2 off 87","x","sub 1 on 63 1",NA,NA,NA,NA,"x",NA,"x",NA,NA,"x",NA,"x 1 off 63","x",NA,"x",NA,NA,"x","x",NA,NA,NA,"uu",NA,NA,NA,NA,"uu","sub 2 on 87 2","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2004-09-25,"Colchester United","1","1","league-one","H","",5166,348,18,6,"P Armstrong","Boundary Park","sub 1 on 46 1",NA,"x 2 off 61 y","x g 22","sub 2 on 61 2",NA,NA,NA,NA,"x",NA,"x","x",NA,"x",NA,"x 1 off 46","x",NA,"x",NA,NA,"x","x",NA,NA,NA,"uu",NA,NA,NA,NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2004-10-02,"Brentford","0","2","league-one","A","",5818,348,19,2,"A R Hall","Griffin Park","sub 2 on 55 2",NA,"x","x 2 off 55","sub 3 on 55 3",NA,NA,NA,NA,"x",NA,"x","x",NA,"x",NA,"x","x 3 off 55",NA,"x y",NA,NA,"x","x 1 off 55","uu",NA,NA,NA,NA,NA,NA,NA,"sub 1 on 55 1","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2004-10-10,"Blackpool","1","2","league-one","H","",7125,1605,20,22,"Martin Atkinson","-",NA,"x 3 off 85","x y","x",NA,NA,NA,NA,NA,"x",NA,"uu","x",NA,"x y",NA,"x","x 1 off 70",NA,NA,"sub 3 on 85 3",NA,"x g 39","x 2 off 73","x",NA,NA,"uu","sub 2 on 73 2 y",NA,NA,NA,NA,"sub 1 on 70 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2004-10-16,"Swindon Town","0","1","league-one","A","",5522,223,21,9,"Steve Tomlin","-",NA,NA,"x y","x 1 off 71",NA,NA,NA,NA,NA,"uu",NA,"uu","x",NA,"x",NA,NA,NA,NA,NA,"x 3 off 83",NA,"x","sub 1 on 71 1","x","x",NA,"x y",NA,"sub 2 on 71 2",NA,NA,"x","x 2 off 71",NA,"sub 3 on 83 3",NA,NA,NA,NA,NA,NA,NA,NA
"16",2004-10-19,"Bristol City","0","0","league-one","H","",5090,322,20,15,"M Warren","-","x y",NA,NA,"x",NA,NA,NA,NA,NA,"uu",NA,"uu","x",NA,"x",NA,NA,NA,NA,"x y red@78","x",NA,"x","uu","x","x",NA,"x",NA,NA,NA,NA,"x","uu",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"17",2004-10-23,"AFC Bournemouth","1","2","league-one","H","",5335,270,21,4,"G Laws","Boundary Park","x",NA,NA,"x 2 off 70",NA,NA,NA,NA,NA,"uu",NA,"uu","x",NA,"x",NA,NA,NA,NA,NA,"x 3 off 88",NA,"x","sub 2 on 70 2","x","x g pen 3",NA,"x",NA,"x 1 off 57",NA,NA,"x","sub 1 on 57 1",NA,"sub 3 on 88 3",NA,NA,NA,NA,NA,NA,NA,NA
"18",2004-10-30,"Stockport County","2","1","league-one","A","",6146,2049,20,24,"R Booth","Edgeley Park","x y",NA,"x 2 off 24","x",NA,NA,NA,NA,NA,"sub 1 on 12 1",NA,NA,"x","x g 13 39","x",NA,NA,NA,"uu","x 3 off 83","sub 2 on 24 2",NA,"x 1 off 12","uu","x y","sub 3 on 83 3",NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2004-11-02,"Accrington Stanley","3","2","ldv-vans-trophy","H","",2812,320,NA,NA,"Carl Boyeson","Boundary Park","x g pen 25",NA,NA,"x 1 off 45",NA,NA,NA,NA,NA,"x",NA,NA,"x red@40","x","x g 82","sub 1 on 45 1",NA,"uu","uu","x 2 off 62 y","x",NA,NA,"sub 3 on 74 3 g 75","x","sub 2 on 62 2 y",NA,"x",NA,NA,NA,NA,"x 3 off 74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2004-11-06,"Torquay United","0","2","league-one","A","",3183,459,20,22,"P Melin","Plainmoor","x",NA,NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,"x","x","x 1 off 77",NA,"uu","uu",NA,"x",NA,NA,"x","x","x 2 off 77",NA,"x","uu","sub 2 on 77 2",NA,NA,"sub 1 on 77 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2004-11-14,"Thurrock","1","0","fa-cup","A","",1156,319,NA,NA,"Kevin Friend","-","x 1 off 28",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x","x g pen 48","sub 1 on 28 1 y","uu",NA,"x",NA,NA,"x","x","x",NA,"x","uu","uu",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x y",NA,NA,NA,NA
"22",2004-11-20,"Barnsley","3","2","league-one","H","",5593,677,18,19,"Darren Drysdale","Boundary Park",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 2 off 65","x","x 1 off 45","x g 17 90 y",NA,NA,NA,"x 3 off 70",NA,"sub 1 on 45 1","x","x","sub 2 on 65 2 g 90",NA,"x","uu",NA,NA,NA,NA,NA,"uu",NA,NA,"sub 3 on 70 3","x","x",NA,NA,NA,NA
"23",2004-11-27,"Bradford City","3","1","league-one","A","",8647,1047,NA,NA,"J Singh","Valley Parade",NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA,NA,"sub 1 on 53 1","x 1 off 53","x","uu","x 3 g 63 off 89","sub 2 on 89 2",NA,NA,"uu",NA,"x","x","x","sub 3 on 89 3",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 2 g 12 82 off 89 y","x","x",NA,NA,NA,NA
"24",2004-11-30,"Hartlepool United","3","1","ldv-vans-trophy","H","",2835,167,NA,NA,"M Cowburn","Boundary Park",NA,NA,NA,"x",NA,"x 1 off 62",NA,NA,NA,NA,NA,NA,"x",NA,"x",NA,"x 2 g pen 17 off 80",NA,NA,NA,NA,NA,"x","x","x","sub 2 on 80 2",NA,"x",NA,NA,"uu",NA,NA,NA,"uu",NA,"uu","x g 14","sub 1 on 62 1","x g 79",NA,NA,NA,NA
"25",2004-12-04,"Leyton Orient","4","0","fa-cup","H","",4657,551,NA,NA,"Anthony Bates","Boundary Park",NA,NA,NA,"x 3 off 86",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,"x","uu","x 2 g pen 26 39 65 off 80","sub 1 on 80 1",NA,NA,NA,NA,"x","x","x","sub 2 on 80 2",NA,"x",NA,NA,"sub 3 on 86 3",NA,NA,NA,NA,NA,NA,"x 1 off 80","x","x g 85",NA,NA,NA,NA
"26",2004-12-07,"Chesterfield","4","1","league-one","H","",5207,404,18,9,"G Hegley","Boundary Park",NA,NA,NA,"x 3 off 88",NA,NA,"uu",NA,NA,NA,NA,NA,"x g 55",NA,"x y","uu","x 1 g 3 pen 19 off 66 y","sub 2 on 77 2",NA,NA,NA,NA,"x","x","x","sub 1 on 66 1",NA,"x","sub 3 on 88 3",NA,NA,NA,NA,NA,NA,NA,NA,"x 2 g 62 off 77","x","x",NA,NA,NA,NA
"27",2004-12-11,"Huddersfield Town","2","1","league-one","H","",8389,2281,14,11,"P Walton","Boundary Park",NA,NA,NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA,"x g 38",NA,"x","uu","x 2 off 89","sub 1 on 89 1",NA,NA,NA,NA,"x g 4","x","x y","sub 2 on 89 2",NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA,NA,"x 1 off 89","x y","x",NA,NA,NA,NA
"28",2004-12-18,"Port Vale","1","3","league-one","A","",4849,841,17,16,"Mike Jones","Vale Park",NA,"sub 2 on 82 2","sub 1 on 69 1","x",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,"uu",NA,NA,"x","x","x","x g 34",NA,"x",NA,NA,NA,NA,"uu",NA,NA,NA,NA,"x","x 1 off 69","x 2 off 73",NA,NA,NA,NA
"29",2004-12-26,"Hartlepool United","1","2","league-one","A","",6520,674,17,4,"P Prosser","Victoria Park","uu","uu","x","x 1 off 74",NA,NA,"uu",NA,NA,NA,NA,NA,"x 2 off 74 y",NA,"x g 64 y",NA,NA,NA,NA,NA,NA,NA,"x","x","x","sub 2 on 74 2",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x y","x y","x",NA,"sub 1 on 74 1 y",NA,NA
"30",2004-12-28,"Peterborough United","2","1","league-one","H","",5618,117,15,22,"Trevor Parkes","Boundary Park","sub 3 on 90 3","uu","x 1 off 45","x",NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x 2 off 85","x","sub 1 on 45 1 g 46",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x g 54","x","x",NA,"sub 2 on 85 2",NA,NA
