"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Mark Bonner","Chris Day","David Eyres","Andy Liddell","Rob Scott","Chris Swailes","Luke Beckett","Guy Branston","Delroy Facey","Paul Warne","Chris Killen","Terrell Forbes","Ritchie Wellens","Richard Butcher","Lee Grant","Gareth Owen","Paul Edwards","Lance Cronin","Will Haining","Adam Griffin","Les Pogliacomi","Danny Hall","Chris Porter","Marc Tierney","Matthew Wolfenden","Michael Poke","Mark Hughes","Anthony Grant","Stefan Stam","Terry Smith","Jason Taylor","Chris Hall","Chris Taylor","Neal Eardley"
"1",2005-08-06,"Yeovil Town","2","0","league-one","H","",6979,1022,5,24,"U D Rennie","Boundary Park","uu","x",NA,"x","x",NA,NA,"x","uu","x g 26",NA,"x","x","x",NA,"x","uu",NA,NA,NA,"uu",NA,"x g 24","x",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"2",2005-08-09,"Swindon Town","3","2","league-one","A","",5294,338,1,24,"P Armstrong","The County Ground","uu","x","uu","x g 38 pen 51","x g 13",NA,NA,"x","sub 1 on 86 1","x",NA,"x","x","x",NA,"x",NA,NA,NA,NA,"uu",NA,"x 1 off 86","x",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"3",2005-08-12,"Tranmere Rovers","0","4","league-one","A","",8466,1738,4,5,"R Olivier","Prenton Park","sub 3 on 73 3","x","sub 2 on 61 2 y","x","x",NA,NA,"x y","sub 1 on 60 1","x y",NA,"x","x","x 3 off 73",NA,"x 2 off 61",NA,NA,NA,NA,"uu",NA,"x 1 off 60","x y",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"4",2005-08-20,"Chesterfield","4","1","league-one","H","",5347,241,2,23,"Mike Jones","Boundary Park","uu","x",NA,"x 2 g 4 off 89","x",NA,NA,"x g 2","sub 1 on 78 1","x g 57 86",NA,"x","x","x",NA,"x","sub 2 on 89 2",NA,NA,NA,NA,NA,"x 1 off 78","x",NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA
"5",2005-08-23,"Leeds United","0","2","league-cup","A","",14970,1630,NA,NA,"Kevin Wright","Elland Road","sub 1 on 73 1","x","uu","x","x",NA,NA,"x","x","x 2 off 73",NA,"x","x",NA,NA,"x","sub 2 on 73 2",NA,NA,NA,NA,NA,NA,"x",NA,NA,"x 1 off 73",NA,"uu","uu",NA,NA,NA,NA
"6",2005-08-27,"Colchester United","0","0","league-one","A","",2742,332,3,18,"D J Gallagher","Layer Road","sub 2 on 85 2","x",NA,"x","x",NA,NA,"x",NA,"x 1 off 84",NA,"x","x 2 off 85","x",NA,"x","sub 1 on 84 1",NA,NA,NA,NA,NA,"x","x",NA,"uu","uu",NA,"uu",NA,NA,NA,NA,NA
"7",2005-08-29,"Rotherham United","0","1","league-one","H","",6950,1408,8,4,"P Walton","Boundary Park","uu","x",NA,"x","x",NA,NA,"x 1 off 10",NA,"x 3 off 83","x 2 off 69","x","x","x",NA,"x","sub 3 on 83 3",NA,NA,NA,NA,NA,"sub 2 on 69 2","x y",NA,"uu",NA,NA,"sub 1 on 10 1",NA,NA,NA,NA,NA
"8",2005-09-04,"Southend United","1","2","league-one","A","",5261,303,12,8,"Nigel Miller","Roots Hall","x 3 g 69 off 84","x","sub 1 on 67 1","x","x",NA,NA,NA,NA,"x 1 off 67","x","x","x","sub 3 on 84 3",NA,"x","x 2 off 67",NA,NA,NA,NA,NA,"sub 2 on 67 2","x y",NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA
"9",2005-09-10,"Huddersfield Town","0","3","league-one","H","",6803,1834,13,3,"Chris Foy","Boundary Park","x","x","uu","x","x y",NA,"sub 2 on 70 2",NA,NA,"x red@31","x 2 off 70","x","x y","x 1 off 61",NA,"x","uu",NA,NA,NA,NA,NA,"sub 1 on 61 1","x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"10",2005-09-17,"Gillingham","1","0","league-one","A","",6259,224,10,20,"Mick Russell","Priestfield Stadium","x","x","x","x","x",NA,"sub 2 on 78 2",NA,NA,NA,"x g 6","x","x","uu",NA,"x","uu",NA,NA,NA,NA,NA,"x 2 off 78","sub 1 on 78 1",NA,NA,NA,NA,"x 1 off 78","uu",NA,NA,NA,NA
"11",2005-09-24,"AFC Bournemouth","1","0","league-one","H","",5058,131,6,16,"B Curson","Boundary Park","x","x","x","x g pen 62","x",NA,"x","x y",NA,NA,"x 1 off 89","x","x y","uu",NA,"uu",NA,NA,NA,"uu",NA,NA,"sub 1 on 89 1","x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"12",2005-09-28,"Port Vale","2","2","league-one","A","",3796,490,6,10,"","Vale Park","x 1 off 6","x","x","x","x",NA,"x 2 g 15 off 66","x",NA,NA,"x g 81","x","x","sub 1 on 6 1",NA,"uu","uu",NA,NA,NA,NA,NA,"sub 2 on 66 2","x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA
"13",2005-10-01,"Barnsley","0","4","league-one","A","",8077,1205,11,8,"Darren Drysdale","Oakwell",NA,"x","x","x","x",NA,"x 2 off 59","x",NA,"sub 2 on 59 2","x y","x","x y","x y",NA,"x 1 off 39",NA,NA,NA,NA,NA,NA,"uu","sub 1 on 39 1",NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA
