"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Simon Charlton","Sean Gregan","Andy Liddell","Chris Swailes","Hasney Aljofree","Paul Warne","Ritchie Wellens","Gary McDonald","Paul Edwards","Will Haining","Les Pogliacomi","Alan Blayney","Chris Porter","Marc Tierney","Neil Wood","Leon Clarke","Luigi Glombard","Matthew Wolfenden","Craig Rocastle","Kelvin Lomax","Matty Barlow","Maheta Molango","Chris Lever","Stefan Stam","David Knight","Lewis Grabban","Terry Smith","Chris Hall","Adam Legzdins","Chris Howarth","Chris Taylor","Ben Turner","Neal Eardley","Tomasz Cywka","Moussa Dabo","Neal Trotman","Ryan Smith","Miki Roque","Mike Pearson","Deane Smalley"
"1",2006-08-05,"Tranmere Rovers","0","1","league-one","A","",8586,NA,20,10,"R Olivier","Prenton Park",NA,NA,"x 2 off 72","x",NA,"sub 1 on 72 1","x","x","x","x","x",NA,NA,NA,"x",NA,NA,NA,"x 1 off 72",NA,NA,"x 3 off 80",NA,"uu",NA,NA,NA,"sub 3 on 80 3",NA,"uu","sub 2 on 72 2 y red@90",NA,"x y red@90",NA,NA,NA,NA,NA,NA,NA
"2",2006-08-08,"Port Vale","0","1","league-one","H","",4975,NA,22,1,"Neil Swarbrick","Boundary Park",NA,NA,"x","x",NA,"sub 3 on 72 3","x","x","x","x","x 1 off 10",NA,NA,NA,"x 3 off 72",NA,NA,NA,"x y","uu",NA,"x 2 off 65",NA,"x",NA,NA,NA,"sub 2 on 65 2",NA,"sub 1 on 10 1","uu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2006-08-12,"Swansea City","1","0","league-one","H","",4708,NA,15,20,"G Laws","Boundary Park","x 2 off 84 y",NA,"x","x",NA,"x y","x","x","x","x",NA,NA,NA,NA,"uu",NA,NA,NA,"uu",NA,NA,"sub 1 on 45 1 g 67",NA,"x",NA,NA,"uu","x 1 off 45 y",NA,"x","sub 2 on 84 2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2006-08-19,"Millwall","0","1","league-one","A","",7455,NA,20,18,"Carl Boyeson","The Den",NA,NA,"x","x 3 off 85",NA,"x","x y","x","x","x",NA,NA,NA,"sub 1 on 45 1 y","sub 3 on 85 3",NA,NA,NA,"uu",NA,NA,"x 2 off 62",NA,"x",NA,"sub 2 on 62 2","uu",NA,NA,"x","x 1 off 45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2006-08-22,"Rotherham United","1","3","league-cup","A","",3065,NA,NA,NA,"Gary Sutton","Millmoor",NA,NA,"x",NA,NA,"x 3 off 72","x","uu","x","x",NA,NA,NA,"sub 2 on 60 2","x",NA,NA,NA,"x g 41",NA,NA,"sub 3 on 72 3",NA,"x 2 off 60",NA,"x","sub 1 on 34 1",NA,NA,"x 1 off 34",NA,NA,"x y",NA,"uu",NA,NA,NA,NA,NA
"6",2006-08-27,"Carlisle United","0","0","league-one","H","",6080,NA,20,8,"Graham Salisbury","Boundary Park","x",NA,"x",NA,NA,"x 1 off 40","x","x","x 2 off 60","x",NA,NA,NA,NA,"uu",NA,NA,NA,"uu",NA,NA,"sub 3 on 82 3",NA,"x","x red@39","x 3 off 82","sub 1 on 40 1",NA,NA,NA,"sub 2 on 60 2",NA,"x",NA,NA,NA,NA,NA,NA,NA
"7",2006-09-02,"AFC Bournemouth","2","3","league-one","A","",4838,NA,23,13,"Mick Russell","Vitality Stadium","x",NA,"x g pen 47 79",NA,NA,"sub 2 on 45 2","x","x","x","x 1 off 45","uu",NA,"x",NA,"x 2 off 45",NA,NA,NA,"sub 1 on 45 1",NA,NA,"uu",NA,"x","x","sub 3 on 89 3",NA,NA,NA,NA,"x 3 off 89",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2006-09-09,"Scunthorpe United","1","0","league-one","H","",4812,NA,18,22,"","","x",NA,"x",NA,NA,"x 1 off 74","x","x g 34","x y","x","x",NA,"x",NA,NA,NA,NA,NA,"sub 2 on 78 2",NA,NA,NA,NA,"x",NA,"sub 1 on 74 1","uu",NA,NA,NA,"uu",NA,"x 2 off 78 y",NA,NA,"uu",NA,NA,NA,NA
"9",2006-09-12,"Nottingham Forest","2","0","league-one","A","",17446,NA,15,1,"Darren Drysdale","City Ground","x",NA,"x",NA,NA,"x 1 off 81","x","x 2 off 82","x 3 off 87","x","x",NA,"x g 29 45 y",NA,NA,NA,NA,NA,"sub 2 on 82 2",NA,NA,NA,NA,"x","uu","sub 1 on 81 1",NA,NA,NA,NA,"sub 3 on 87 3",NA,"x",NA,NA,"uu",NA,NA,NA,NA
"10",2006-09-16,"Blackpool","2","2","league-one","A","",6794,NA,16,22,"Mike Jones","Bloomfield Road","x",NA,"x",NA,NA,"x 2 off 79","x g 63 y","x",NA,"x","x",NA,"x g 72 y",NA,"sub 3 on 88 3",NA,NA,NA,"sub 1 on 66 1",NA,NA,NA,NA,"x",NA,"sub 2 on 79 2",NA,NA,NA,NA,"x 3 off 88",NA,"x 1 off 66",NA,NA,"uu","uu",NA,NA,NA
