"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Marlon Beresford","Mark Crossley","Sean Gregan","Lee Hughes","Andy Liddell","Michael Ricketts","Robbie Winters","Mark Allott","Jason Jarrett","Reuben Hazell","David Livermore","Leon Constantine","Gary McDonald","John Thompson","Les Pogliacomi","Matthew Wolfenden","Jean-Paul Kalala","Kelvin Lomax","Stuart Giddings","Neil Kilkenny","Craig Davies","Stefan Stam","Chris Taylor","Neal Eardley","Richard O&#039;Donnell","Neal Trotman","Ryan Bertrand","Jordan Robertson","Mike Pearson","Deane Smalley","Lewis Alessandra","Ashley Kelly","Josh Bell","Aaron Chalmers","Paul Black","Josh Ollerenshaw","Danny Knight","Brooke"
"1",2007-08-11,"Swansea City","2","1","league-one","H","",7397,NA,5,21,"A R Hall","Boundary Park",NA,"x","x",NA,"sub 1 on 63 1","x 2 g pen 3 off 63 y",NA,"x y",NA,NA,NA,NA,"sub 3 on 87 3","x",NA,"uu","x",NA,"x","x","x g 90",NA,"x 1 off 63 y","x 3 off 87",NA,NA,NA,NA,NA,"sub 2 on 63 2",NA,NA,"uu",NA,NA,NA,NA,NA
"2",2007-08-14,"Mansfield Town","4","1","league-cup","H","",3155,NA,NA,NA,"Steve Bratt","Boundary Park",NA,"x","x y",NA,"x","x 2 off 80",NA,"x",NA,NA,NA,NA,"sub 3 on 86 3","x",NA,"uu","x 1 g 27 off 71",NA,"x","x 3 g 20 off 86","x g 86",NA,"sub 1 on 71 1","x",NA,NA,NA,NA,NA,"sub 2 on 80 2 g 82",NA,NA,"uu",NA,NA,NA,NA,NA
"3",2007-08-18,"Carlisle United","0","1","league-one","A","",7777,NA,12,6,"Nigel Miller","Brunton Park",NA,"x","x y",NA,"x 2 off 86","x y",NA,"x",NA,NA,NA,NA,"uu","x",NA,"uu","x 1 off 55",NA,"x","x","x",NA,"sub 1 on 55 1","x",NA,NA,NA,NA,NA,"sub 2 on 86 2",NA,NA,"uu",NA,NA,NA,NA,NA
"4",2007-08-25,"Bristol Rovers","0","1","league-one","H","",5348,NA,16,10,"Eddie Ilderton","Boundary Park",NA,"x","x",NA,"x 2 off 77","x 3 off 87 y",NA,NA,NA,NA,NA,NA,"sub 1 on 67 1","x","uu","sub 3 on 87 3","x 1 off 67",NA,NA,"x","x",NA,"x y","x",NA,"uu","x",NA,NA,"sub 2 on 77 2",NA,NA,NA,NA,NA,NA,NA,NA
"5",2007-08-28,"Burnley","0","3","league-cup","A","",7317,NA,NA,NA,"Keith Hill","Turf Moor",NA,"x","x",NA,"sub 1 on 21 1","x 2 off 74",NA,NA,NA,NA,NA,NA,"x y","x","uu","sub 2 on 74 2","x","uu",NA,NA,"x",NA,"x 3 off 85","x",NA,"sub 3 on 85 3 y","x",NA,NA,"x 1 off 21",NA,NA,NA,NA,NA,NA,NA,NA
"6",2007-09-01,"Hartlepool United","1","4","league-one","A","",5015,NA,22,4,"Rob Shoebridge","Victoria Park",NA,"x","x","x","x 2 off 52",NA,NA,"sub 3 on 54 3",NA,NA,NA,NA,"x y","x 1 off 52","uu",NA,"x 3 off 54 y","uu",NA,NA,"x g 14",NA,"x","x",NA,"sub 1 on 52 1","x",NA,"sub 2 on 52 2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2007-09-04,"Accrington Stanley","3","2","efl-trophy","A","",1465,NA,NA,NA,"Scott Mathieson","-",NA,"x","x",NA,"x g 55",NA,NA,"x",NA,NA,NA,NA,"x 2 off 82","x","uu","sub 1 on 43 1 g 73","x 1 off 43","sub 2 on 82 2",NA,NA,"x g 56",NA,"x",NA,NA,"x","x",NA,NA,NA,NA,"uu",NA,"uu",NA,NA,NA,NA
"8",2007-09-15,"Southend United","0","1","league-one","H","",5151,NA,24,8,"Trevor Kettle","Boundary Park",NA,"x","x","x 2 off 65 y","x","sub 2 on 65 2",NA,"x",NA,"x",NA,NA,"x 3 off 81","x 1 off 46",NA,"sub 3 on 81 3","uu",NA,NA,NA,"x y",NA,"x","sub 1 on 46 1",NA,NA,"x",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"9",2007-09-22,"Walsall","3","0","league-one","A","",6202,NA,19,24,"Jonathan Moss","Banks's Stadium",NA,"x","x","sub 1 on 67 1","x g pen 65","x 1 g 33 off 67 y",NA,"x",NA,"x",NA,NA,"uu","uu",NA,"sub 2 on 89 2","x",NA,NA,NA,"x g 90",NA,"x 2 off 89","x",NA,"uu","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2007-09-29,"Crewe Alexandra","3","2","league-one","H","",5082,NA,16,18,"Anthony Taylor","Boundary Park",NA,"x","x",NA,"x","x 2 off 77",NA,"x 1 g 36 off 68",NA,"x",NA,NA,"uu","uu",NA,"sub 2 on 77 2 g 83","x",NA,NA,"sub 1 on 68 1 g 90","x",NA,"x","x",NA,"uu","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2007-10-02,"Leeds United","0","1","league-one","H","",10054,NA,20,1,"Phil Joslin","Boundary Park",NA,"x","x y",NA,"x","x 1 off 88",NA,"uu",NA,"x",NA,NA,"uu","uu",NA,"sub 1 on 88 1","x",NA,NA,"x","x y",NA,"x","x",NA,"uu","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2007-10-06,"Cheltenham Town","1","1","league-one","A","",3621,NA,18,21,"Darren Drysdale","Whaddon Road",NA,"x","x",NA,"x g 46","x y",NA,"x 2 off 85",NA,"x",NA,NA,"sub 2 on 85 2","uu",NA,"sub 1 on 78 1","uu",NA,NA,"x","x 1 off 78",NA,"x","x",NA,"uu","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2007-10-20,"Huddersfield Town","1","1","league-one","A","",10909,NA,19,15,"C Webster","John Smith's Stadium","x",NA,"x y",NA,"x 3 off 89",NA,NA,"sub 1 on 75 1",NA,"x",NA,NA,"uu","uu",NA,"x 2 off 88","x",NA,NA,"x 1 off 75","x g 27",NA,"x","x",NA,NA,"x y",NA,NA,"sub 2 on 88 2","sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA
"14",2007-10-23,"Doncaster Rovers","0","3","efl-trophy","A","",4608,NA,NA,NA,"Carl Boyeson","Eco Power Stadium","x",NA,"x",NA,"uu","x",NA,"x",NA,"x",NA,NA,"uu","uu",NA,"uu","x",NA,NA,"x","x",NA,"x","x",NA,NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"15",2007-10-27,"Northampton Town","0","1","league-one","H","",4870,NA,21,10,"Anthony Bates","Boundary Park","x",NA,NA,NA,"x","x",NA,"sub 2 on 71 2",NA,"x 1 off 46",NA,NA,"uu",NA,NA,"uu","x 2 off 71",NA,NA,"x","x","sub 1 on 46 1","x 3 off 71","x",NA,"x","x",NA,NA,"sub 3 on 71 3",NA,NA,NA,NA,NA,NA,NA,NA
"16",2007-10-30,"Nottingham Forest","0","0","league-one","A","",16423,NA,20,7,"Mark Haywood","City Ground","x","uu",NA,NA,"x","uu",NA,"sub 2 on 90 2",NA,NA,NA,NA,"x",NA,NA,"x 1 off 69","uu",NA,NA,"x","x","x","x","x",NA,"x","x",NA,NA,"sub 1 on 69 1",NA,NA,NA,NA,NA,NA,NA,NA
"17",2007-11-03,"Leyton Orient","0","1","league-one","A","",4690,NA,20,3,"Andy Woolmer","Brisbane Road","x","uu",NA,"sub 1 on 67 1","x 1 off 67",NA,NA,"sub 2 on 80 2",NA,NA,NA,NA,"x 2 off 80",NA,NA,"sub 3 on 83 3","uu",NA,NA,"x","x","x y","x","x",NA,"x","x y",NA,NA,"x 3 off 83",NA,NA,NA,NA,NA,NA,NA,NA
"18",2007-11-06,"Tranmere Rovers","1","0","league-one","A","",5473,NA,19,8,"Michael Oliver","Prenton Park","x","uu",NA,"sub 2 on 77 2","x",NA,NA,"sub 1 on 58 1",NA,NA,NA,NA,"x",NA,NA,"uu","uu",NA,NA,"x y","x g 90","x","x","x 1 off 58",NA,"x","x",NA,NA,"x 2 off 77",NA,NA,NA,NA,NA,NA,NA,NA
"19",2007-11-10,"Doncaster Rovers","2","2","fa-cup","H","",4280,NA,NA,NA,"Stuart Attwell","Boundary Park",NA,"x",NA,"x 1 off 82",NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,"uu",NA,NA,"x","x g 49","x","x","x y",NA,"x g 32",NA,NA,NA,"x","sub 1 on 82 1",NA,"uu","uu","uu",NA,NA,NA
"20",2007-11-17,"Port Vale","1","1","league-one","H","",5097,NA,18,22,"G Laws","Boundary Park",NA,"x",NA,"x 2 off 72",NA,NA,NA,"sub 1 on 60 1",NA,"x",NA,NA,"x 1 off 60",NA,NA,"sub 2 on 72 2","sub 3 on 85 3","uu",NA,"x y","x g 23","x","x",NA,NA,"x","x",NA,NA,"x 3 off 85",NA,NA,"uu",NA,NA,NA,NA,NA
"21",2007-11-24,"AFC Bournemouth","3","0","league-one","A","",5261,NA,16,22,"Graham Horwood","Vitality Stadium",NA,"x",NA,"x 3 g 56 pen 87 off 89",NA,NA,NA,"sub 1 on 54 1",NA,"sub 2 on 78 2",NA,NA,"x 1 off 54",NA,NA,"sub 3 on 89 3","uu",NA,NA,"x","x y","x","x g 70","x",NA,"x y","x",NA,NA,"x 2 off 78",NA,NA,"uu",NA,NA,NA,NA,NA
"22",2007-11-27,"Doncaster Rovers","2","1","fa-cup","A","",4340,NA,NA,NA,"Steve Bratt","-",NA,"x",NA,NA,NA,NA,NA,"x",NA,"sub 1 on 86 1",NA,NA,"x g 49",NA,NA,"x 1 off 86","uu",NA,NA,"x g 45","x y","x","x","x",NA,"x y red@84",NA,NA,NA,"x","uu",NA,"uu",NA,"uu",NA,NA,NA
"23",2007-12-01,"Crewe Alexandra","1","0","fa-cup","H","",3900,NA,NA,NA,"Jonathan Moss","Boundary Park",NA,"x",NA,"x g 41",NA,NA,NA,"x",NA,"x",NA,NA,"x","uu",NA,"uu","uu","uu",NA,"x","x","x","x","x",NA,NA,NA,NA,NA,"x",NA,NA,"uu",NA,NA,NA,NA,NA
"24",2007-12-04,"Luton Town","1","1","league-one","H","",4251,NA,17,18,"Andy Haines","Boundary Park",NA,"x",NA,"x y",NA,NA,NA,"x",NA,"uu",NA,NA,"x 1 off 85",NA,NA,"uu","uu",NA,NA,"x y","x g 32","x","x","x",NA,"x y","x",NA,NA,"sub 1 on 85 1",NA,NA,"uu",NA,NA,NA,NA,NA
"25",2007-12-08,"Doncaster Rovers","1","1","league-one","H","",4776,NA,17,7,"Dean Whitestone","Boundary Park",NA,"x",NA,"x y",NA,NA,NA,"x g 44",NA,"uu",NA,NA,"x","uu",NA,NA,"uu",NA,NA,"x","x","x","x","x",NA,"x","x y",NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA
"26",2007-12-15,"Millwall","3","2","league-one","A","",8033,NA,14,21,"Kevin Friend","The Den",NA,"x",NA,"x 2 g 32 pen 74 80 off 85",NA,NA,NA,"x",NA,"sub 2 on 85 2",NA,NA,"x 1 off 46","uu",NA,NA,"uu",NA,NA,"x y","x","x","x","x y red@85",NA,"x","x",NA,NA,"sub 1 on 46 1",NA,NA,"uu",NA,NA,NA,NA,NA
"27",2007-12-22,"Southend United","1","0","league-one","A","",7388,NA,14,7,"Phil Joslin","Roots Hall",NA,"x",NA,"x g 4",NA,NA,NA,"x",NA,"x",NA,NA,"x 1 off 65","uu","uu","uu","sub 1 on 65 1",NA,NA,"x","x","x","x y",NA,NA,"x y","x",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"28",2007-12-26,"Nottingham Forest","0","0","league-one","H","",8140,NA,15,3,"C Oliver","Boundary Park",NA,"x",NA,"x",NA,NA,NA,"x",NA,"uu",NA,NA,"x 1 off 80","uu","uu",NA,"sub 1 on 80 1",NA,NA,"x","x","x","x","x",NA,"x y","x y",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"29",2007-12-29,"Walsall","0","2","league-one","H","",5292,NA,15,6,"Dave Foster","Boundary Park",NA,"x",NA,"x",NA,NA,NA,"x",NA,"uu",NA,NA,"x 1 off 58",NA,"uu","sub 2 on 78 2","uu",NA,NA,"x","x 2 off 78","x","x","x",NA,"x y","x",NA,NA,"sub 1 on 58 1",NA,NA,NA,NA,NA,NA,NA,NA
"30",2008-01-01,"Leeds United","3","1","league-one","A","",25906,NA,13,1,"Mark Clattenburg","Elland Road",NA,"x",NA,"x 2 off 58",NA,NA,NA,"x",NA,"x g 28",NA,NA,"x","uu","uu",NA,"sub 2 on 58 2",NA,NA,"x","x","x","x 1 off 19","uu",NA,"x g 36","x",NA,NA,"sub 1 on 19 1",NA,NA,NA,NA,NA,NA,NA,NA
"31",2008-01-05,"Everton","1","0","fa-cup","A","",33086,NA,NA,NA,"U D Rennie","Goodison Park",NA,"x",NA,"x",NA,NA,NA,"x",NA,"x",NA,NA,"x g 45","sub 1 on 84 1","uu","uu","x","x 1 off 84",NA,NA,"x","x",NA,"x",NA,NA,NA,NA,NA,"x","uu",NA,NA,NA,"uu",NA,NA,NA
"32",2008-01-12,"Brighton &amp; Hove Albion","1","1","league-one","H","",5168,NA,NA,NA,"Darren Drysdale","Boundary Park",NA,"x",NA,"x g 40 y",NA,NA,NA,"x",NA,"x",NA,NA,"x",NA,"uu","sub 1 on 81 1","x","x",NA,NA,"x 1 off 81","x",NA,"uu",NA,"x y",NA,NA,NA,"x","uu",NA,NA,NA,"uu",NA,NA,NA
"33",2008-01-19,"Yeovil Town","0","0","league-one","A","",4905,NA,13,10,"J Singh","Huish Park",NA,"x",NA,"x y",NA,NA,NA,"x",NA,"x",NA,NA,"x 2 off 60",NA,"uu","uu","x y","x 1 off 59",NA,NA,"x","x y","sub 2 on 60 2","sub 1 on 59 1",NA,"x y",NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,NA,NA
"34",2008-01-22,"Gillingham","0","0","league-one","A","",4402,NA,13,16,"Iain Williamson","Priestfield Stadium",NA,"x",NA,"x",NA,NA,NA,"x",NA,"x",NA,NA,"x 2 off 72",NA,"uu","uu","x y","sub 1 on 52 1",NA,NA,"x y","x","x y","x",NA,"x 1 off 52",NA,NA,NA,"sub 2 on 72 2","uu",NA,NA,NA,NA,NA,NA,NA
"35",2008-01-26,"Huddersfield Town","0","1","fa-cup","H","",12749,NA,NA,NA,"G Laws","Boundary Park",NA,"x",NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,"x",NA,"uu","sub 1 on 76 1","x 1 off 76","uu",NA,NA,"x","x","x y","x",NA,"x y",NA,NA,NA,"x","uu",NA,NA,NA,"uu",NA,NA,NA
"36",2008-01-29,"Carlisle United","2","0","league-one","H","",4701,NA,13,6,"Andy D'Urso","Boundary Park",NA,"x",NA,"x 1 off 12",NA,NA,NA,"x","x 2 off 89","x y",NA,NA,"x g 21 44",NA,"uu","uu","sub 2 on 89 2","x",NA,NA,NA,"x","x","x",NA,NA,NA,NA,NA,"x","sub 1 on 12 1",NA,NA,NA,"uu",NA,NA,NA
"37",2008-02-02,"Swansea City","1","2","league-one","A","",12458,NA,14,1,"P Taylor","Liberty Stadium",NA,"x",NA,NA,NA,NA,NA,"x","x 2 off 83","x y","x",NA,"x 1 off 71",NA,"uu","sub 3 on 89 3","sub 2 on 83 2","x",NA,NA,"x g pen 76 y","x",NA,"x",NA,NA,NA,NA,NA,"sub 1 on 71 1","x 3 off 89",NA,NA,NA,"uu",NA,NA,NA
"38",2008-02-09,"Gillingham","2","1","league-one","H","",4866,NA,10,20,"Mark Haywood","Boundary Park",NA,"x",NA,NA,NA,NA,NA,"x","x","x","x",NA,"x",NA,NA,"uu",NA,"uu",NA,NA,"x g 67","x","x g 42","x",NA,NA,NA,NA,NA,"sub 1 on 88 1","x 1 off 88",NA,"uu",NA,"uu",NA,NA,NA
"39",2008-02-12,"Bristol Rovers","0","1","league-one","A","",5778,NA,12,13,"P Armstrong","The Memorial Stadium",NA,"x",NA,NA,NA,NA,NA,"x","x","x","x",NA,"x",NA,NA,"uu",NA,"uu",NA,NA,"x","x","x","x",NA,NA,NA,NA,NA,"sub 1 on 73 1","x 1 off 73",NA,"uu",NA,"uu",NA,NA,NA
"40",2008-02-16,"Yeovil Town","3","0","league-one","H","",4781,NA,10,13,"C Webster","Boundary Park",NA,"x",NA,NA,NA,NA,NA,"x","x 2 off 85","x","x",NA,"x 1 g 15 off 85",NA,NA,"sub 3 on 88 3",NA,"sub 1 on 85 1",NA,NA,"x 3 g 87 off 88","x","x","x",NA,NA,NA,NA,NA,"sub 2 on 85 2","x",NA,"uu",NA,"uu",NA,NA,NA
"41",2008-02-23,"Brighton &amp; Hove Albion","0","1","league-one","A","",4815,NA,NA,NA,"Mick Russell","Withdean Stadium",NA,"x",NA,NA,NA,NA,NA,"x","x 2 off 76","x","x",NA,"x",NA,NA,"uu",NA,"sub 2 on 76 2",NA,NA,"x 1 off 27","x","x","x",NA,NA,NA,NA,NA,"sub 1 on 27 1","x",NA,"uu",NA,"uu",NA,NA,NA
"42",2008-02-26,"Swindon Town","2","2","league-one","H","",3923,NA,12,13,"C Oliver","Boundary Park",NA,"x",NA,NA,NA,NA,NA,"x g 55","x 2 off 72","x","x g 50",NA,"x",NA,NA,"uu",NA,"sub 1 on 46 1",NA,NA,NA,"x 1 off 46","x","x",NA,NA,NA,"sub 2 on 72 2",NA,"x","x",NA,"uu",NA,"uu",NA,NA,NA
"43",2008-03-01,"Port Vale","3","0","league-one","A","",3715,NA,10,24,"Graham Horwood","Vale Park",NA,"x",NA,NA,NA,NA,NA,"x",NA,"x y","x",NA,"x 1 off 81",NA,NA,"sub 2 on 88 2 g 90",NA,"x",NA,NA,NA,"x","x","x g 78",NA,NA,NA,"x 2 g 23 off 88",NA,"sub 1 on 81 1","x","uu","uu",NA,"uu",NA,NA,NA
"44",2008-03-04,"Hartlepool United","0","1","league-one","H","",3765,NA,11,15,"Andy Woolmer","Boundary Park",NA,"x",NA,NA,NA,NA,NA,"x","x 2 off 76","x",NA,"sub 1 on 34 1","x",NA,NA,"uu",NA,"x",NA,NA,NA,"x","x","x",NA,NA,NA,"x 1 off 34",NA,"sub 2 on 76 2","x",NA,"uu",NA,"uu",NA,NA,NA
"45",2008-03-08,"Tranmere Rovers","3","1","league-one","H","",5442,NA,9,8,"Andy Penn","Boundary Park",NA,"x",NA,NA,NA,NA,NA,"x",NA,"x y",NA,"x","x","uu",NA,"sub 1 on 87 1","uu","x",NA,NA,NA,"x","x g 45","x g pen 41",NA,NA,NA,NA,NA,"x","x 1 g 76 off 87",NA,"uu",NA,"uu",NA,NA,NA
"46",2008-03-11,"AFC Bournemouth","2","0","league-one","H","",3633,NA,8,21,"Carl Boyeson","Boundary Park",NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,"x","x","uu",NA,"sub 1 on 89 1","x","x",NA,NA,NA,"x","x","x g pen 24 pen 80",NA,NA,NA,NA,NA,"x","x 1 off 89","uu","uu",NA,"uu",NA,NA,NA
"47",2008-03-15,"Luton Town","0","3","league-one","A","",5417,NA,12,23,"Roger East","Kenilworth Road",NA,NA,NA,NA,NA,NA,NA,NA,"x 1 off 33","x red@32",NA,"x","x","sub 1 on 33 1",NA,"sub 2 on 86 2","x 2 off 86","x",NA,NA,NA,"x","x","x","x",NA,NA,NA,NA,"x",NA,"uu","uu",NA,NA,NA,NA,NA
"48",2008-03-22,"Millwall","1","1","league-one","H","",4391,NA,11,18,"Mike Jones","Boundary Park",NA,NA,NA,NA,NA,NA,NA,"x","uu",NA,"x","x g 79","x","x 1 off 9",NA,"sub 1 on 79 1",NA,"x",NA,NA,NA,"x","x","x","x",NA,NA,NA,NA,"x",NA,"uu",NA,NA,"uu","uu",NA,NA
"49",2008-03-24,"Doncaster Rovers","1","1","league-one","A","",8777,NA,11,4,"P Walton","Eco Power Stadium",NA,NA,NA,NA,NA,NA,NA,"x","sub 1 on 46 1 g 52 y","x","x","x",NA,NA,NA,"x 1 off 46",NA,"x",NA,NA,NA,"x","x","x","x",NA,NA,NA,NA,"x",NA,"uu",NA,NA,"uu","uu",NA,NA
"50",2008-03-29,"Huddersfield Town","4","1","league-one","H","",5637,1095,9,14,"Trevor Kettle","Boundary Park",NA,"x",NA,NA,NA,NA,"uu","x","x g 8 45","x","x y","x g 40",NA,NA,NA,NA,NA,"x 1 off 76",NA,NA,NA,"x","x g 61 y","x","uu",NA,NA,NA,NA,"x",NA,"uu",NA,NA,"sub 1 on 76 1",NA,NA,NA
"51",2008-04-05,"Swindon Town","0","3","league-one","A","",5384,NA,10,15,"Keith Hill","The County Ground",NA,"x","x y",NA,"sub 1 on 45 1",NA,"uu","x","x 1 off 45","x",NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,"x","x y","x","uu",NA,NA,NA,NA,"x",NA,"uu",NA,NA,NA,NA,"uu",NA
"52",2008-04-12,"Leyton Orient","2","0","league-one","H","",4325,136,10,12,"MIke Pike","Boundary Park",NA,"x","x 2 off 79",NA,"x",NA,"uu","x g 42",NA,"x",NA,NA,NA,NA,NA,"x 1 off 74",NA,"x",NA,NA,NA,"x","x g 22","x","uu",NA,NA,NA,NA,"x",NA,"sub 2 on 79 2 y",NA,"sub 1 on 74 1",NA,NA,NA,"uu"
"53",2008-04-19,"Northampton Town","0","2","league-one","A","",5171,NA,11,9,"Darren Drysdale","Sixfields Stadium",NA,"x","x",NA,"x 2 off 66",NA,NA,"x","x 1 off 66","x",NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,NA,"x",NA,"x y","uu",NA,NA,NA,NA,"x","sub 2 on 66 2","uu",NA,"sub 1 on 66 1","uu",NA,NA,NA
"54",2008-04-26,"Cheltenham Town","2","1","league-one","H","",6400,343,9,21,"Dave Foster","Boundary Park",NA,"x","x",NA,"x",NA,NA,"x","sub 3 on 89 3","x",NA,NA,"sub 2 on 61 2 y",NA,NA,"x 1 off 46","uu","x",NA,NA,NA,"x 2 off 61",NA,"x","uu",NA,NA,NA,NA,"x 3 g 16 off 89","x g 87",NA,NA,NA,"sub 1 on 46 1",NA,NA,NA
"55",2008-05-03,"Crewe Alexandra","4","1","league-one","A","",6786,NA,8,21,"Mick Russell","-",NA,"x 1 off 60","x y",NA,"uu",NA,NA,"x",NA,"x 2 off 64",NA,NA,"x g 69",NA,NA,"x 3 off 77",NA,"x",NA,NA,"sub 3 on 77 3","sub 2 on 64 2","x","x g 32 59","sub 1 on 60 1",NA,NA,NA,NA,"x g 5","x",NA,NA,NA,"uu",NA,NA,NA
