"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Darren Byfield","Mark Crossley","Sean Gregan","Lee Hughes","Andy Liddell","Dean Windass","Mark Allott","Brett Ormerod","Kevin Maher","Reuben Hazell","Steven Kabba","Dan Whitaker","Ian Westlake","Chris O&#039;Grady","Ritchie Byrne","Matthew Wolfenden","Jean-Paul Kalala","Kelvin Lomax","Shane Supple","Craig Davies","Stefan Stam","Scott Golbourne","Greg Fleming","Jan Budtz","Chris Taylor","Dan Jones","Neal Eardley","Seb Hines","Kieran Lee","Dale Stephens","Deane Smalley","Lewis Alessandra","Josh Bell","Paul Black","Fabio Ferreira","Ryan Brooke"
"1",2008-07-16,"Rhyl","3","0","Friendly","A","",672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2008-07-19,"Grimsby Town","2","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2008-07-23,"Derby County","1","1","Friendly","H","",1745,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2008-07-29,"Hull City","1","1","Friendly","H","",1808,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2008-07-30,"Barrow","1","3","Friendly","A","",480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2008-08-02,"Bradford City","0","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2008-08-09,"Millwall","4","3","league-one","H","",5367,510,5,15,"Nigel Miller","Boundary Park",NA,"x","x","sub 2 on 62 2","x g 3 pen 74 y",NA,"x",NA,"x 3 off 63","x",NA,"sub 3 on 63 3",NA,"x 1 off 62 y",NA,NA,NA,"x",NA,"x 2 off 62","uu",NA,"uu",NA,"x g 85 y",NA,"x",NA,NA,NA,NA,"sub 1 on 62 1 g 80",NA,NA,NA,NA
"8",2008-08-12,"Rochdale","0","0","league-cup","A","",5786,NA,NA,NA,"C Webster","Spotland",NA,"x","x","x","sub 3 on 120 3",NA,"x",NA,NA,"x y",NA,"x",NA,"x 2 off 67",NA,NA,NA,NA,NA,"x red@45","sub 1 on 58 1",NA,"uu",NA,"x y",NA,"x",NA,NA,"uu","x 1 off 58","sub 2 on 67 2",NA,NA,NA,NA
"9",2008-08-16,"Leeds United","2","0","league-one","A","",24631,NA,2,13,"Mick Russell","Elland Road",NA,"x","x","x 1 off 68","x 2 off 78",NA,"x",NA,"sub 3 on 89 3","x",NA,"x",NA,"sub 1 on 68 1",NA,NA,NA,"x",NA,NA,"uu",NA,"uu",NA,"x g 51 65",NA,"x y",NA,NA,NA,"sub 2 on 78 2","x 3 off 89",NA,NA,NA,NA
"10",2008-08-23,"Cheltenham Town","4","0","league-one","H","",4673,159,1,21,"Andy Haines","Boundary Park",NA,"x","x","x 2 g 45 50 62 off 73","x 1 off 72",NA,"x 3 off 86",NA,"sub 3 on 86 3","x",NA,"x g 85",NA,"sub 2 on 73 2",NA,NA,NA,"x",NA,NA,"uu",NA,"uu",NA,"x",NA,"x",NA,NA,NA,"sub 1 on 72 1","x",NA,NA,NA,NA
