"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Darren Byfield","Darryl Flahavan","Sean Gregan","Jason Price","Hasney Aljofree","Reuben Hazell","Keigan Parker","Paul Heffernan","Jim Goodwin","Pawel Abbott","Dan Whitaker","Daniel Nardiello","Jonathan Worthington","Dean Brill","Chris O&#039;Grady","Andy Holdsworth","Peter Gilbert","Kelvin Lomax","Joe Colbeck","Lewis Guy","Alan Sheehan","Chris Taylor","Joe Jacobson","Dean Furman","Kieran Lee","Nick Blackman","Krisztian Timar","Przemyslaw Kazimierczak","Dale Stephens","Deane Smalley","Lewis Alessandra","Lee Hills","Paul Black","Josh Ollerenshaw","Alex Marrow","Ryan Brooke","Chris Rowney","Michael McKerr","David Kalnoki-Kis","Djeny Bembo-Leta","Phillip McGrath","Patrick Tischler","Norberc Csiki","Tom Eaves","Kirk Millar"
"1",2009-07-13,"Hyde United","2","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2009-07-16,"FC Halifax Town","1","2","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2009-07-18,"Bury","0","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2009-07-21,"Macclesfield Town","2","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2009-07-25,"Sunderland","1","2","Friendly","H","",1511,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2009-07-28,"Stalybridge Celtic","3","3","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2009-07-30,"Middlesbrough","2","2","Friendly","H","",1139,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2009-08-01,"Blackpool","2","4","Friendly","H","",1555,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2009-08-08,"Stockport County","0","0","league-one","H","",6918,1028,15,16,"Oliver Langford","Boundary Park","sub 2 on 69 2",NA,"x",NA,NA,"x","x 2 off 69",NA,NA,"x","sub 1 on 68 1 y",NA,"x","x","uu","x 3 off 86","x","uu",NA,NA,NA,"x 1 off 68",NA,"x","uu",NA,NA,"uu",NA,NA,"sub 3 on 86 3",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2009-08-11,"Carlisle United","0","1","league-cup","A","",2509,NA,NA,NA,"Eddie Ilderton","Brunton Park","x 2 off 64",NA,"x",NA,NA,"x y","sub 2 on 64 2",NA,NA,"sub 1 on 64 1","x",NA,"x","x","x 1 off 64","x","x","uu",NA,NA,NA,"x",NA,"x","uu",NA,NA,"uu","uu",NA,"sub 3 on 90 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
