"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Paul Dickov","Paul Gerrard","Sean Gregan","Andy Todd","Jason Jarrett","Reuben Hazell","Warren Feeney","Dean Brill","Andy Holdsworth","Greg Fleming","Ritchie Jones","Filipe Alexandre Morais","Chris Taylor","Reuben Reid","Joe Jacobson","Dean Furman","Neal Trotman","Kieran Lee","Dale Stephens","Deane Smalley","Lewis Alessandra","Jean-Francois Christophe","Paul Black","Jean-Yves Mvoto","Josh Ollerenshaw","Aidan White","Ben Amos","Ryan Brooke","Djeny Bembo-Leta","Phillip McGrath","Sam Mantom","Kirk Millar","Medi Abalimba","Dean Kelly","Oumare Tounkara","Andrew Crompton","Rodrigue Dikaba","Rod Mcdonald","Cedric Evina","Carl Winchester","Ryan Burns","Jason Lowe","James Tarkowski","Tamas Flozman","Connor Hughes","David Mellor"
"1",2010-07-10,"Barrow","2","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2010-07-12,"Burnley","1","2","Friendly","H","",2273,1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2010-07-17,"Falkirk","0","2","Friendly","H","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2010-07-20,"Wigan Athletic","1","1","Friendly","H","",1971,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2010-07-24,"Liverpool","0","3","Friendly","N","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2010-07-28,"Bolton Wanderers","3","0","Friendly","H","",1872,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2010-07-31,"Preston North End","1","0","Friendly","H","",1780,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2010-08-07,"Tranmere Rovers","2","1","league-one","A","",7270,1764,7,17,"Graham Salisbury","Prenton Park",NA,NA,NA,NA,"x y","x y","x","x","uu",NA,"x",NA,NA,NA,NA,"x",NA,"x","x g 27 81 y",NA,"x",NA,"x","uu","uu",NA,NA,NA,"uu","uu",NA,"uu",NA,"sub 1 on 84 1","x 1 off 84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2010-08-10,"Scunthorpe United","1","2","league-cup","A","",2602,273,NA,NA,"Steve Rushton","Glanford Park",NA,NA,"uu",NA,"x y",NA,NA,"x","uu",NA,"x",NA,"sub 1 on 67 1",NA,NA,"x",NA,"x","x",NA,"x 2 off 85",NA,"x","x","uu",NA,NA,NA,"x g 23","uu",NA,"uu",NA,"x 1 off 67",NA,"sub 2 on 85 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2010-08-14,"Notts County","3","0","league-one","H","",5037,695,1,24,"C Webster","Boundary Park",NA,NA,"uu",NA,"x","x",NA,"x","uu",NA,"x 3 off 89",NA,"sub 2 on 85 2",NA,NA,"x g 31",NA,"x g 87","x",NA,"x 2 off 85",NA,"x","uu","uu",NA,NA,NA,"x 1 off 78",NA,NA,"sub 3 on 89 3",NA,"sub 1 on 78 1","x g 66 y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
