"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Paul Gerrard","Shefki Kuqi","Nathan Clarke","Zander Diamond","Robbie Simpson","James Wesolowski","Filipe Alexandre Morais","Chris Taylor","Reuben Reid","Dean Furman","Kieran Lee","Alex Cisak","Paul Black","Jean-Yves Mvoto","Tom Adeyemi","Ryan Brooke","Dean Bouzanis","Matty Lund","Keanu Marsh-Brown","Josh Parker","Kirk Millar","Oumare Tounkara","Reece Brown","Carl Winchester","James Tarkowski","Connor Hughes","David Mellor","Matt Smith","Matthew Carr","Bradley Diallo","Luca Scapuzzi","Andrea Mancini","Harry Bunn","Luke Simpson","Youssouf M&#039;Changama","Alex Parks","Glenn Belezika"
"1",2011-07-09,"Barrow","0","2","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2011-07-23,"Blackpool","2","1","Friendly","H","",1854,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2011-07-26,"Burnley","0","0","Friendly","H","",2153,884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2011-07-30,"Fleetwood Town","1","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2011-08-06,"Sheffield United","0","2","league-one","H","",8032,3597,20,5,"Darren Drysdale","Boundary Park","uu",NA,NA,"x",NA,NA,NA,"x","x 1 off 60","x","x","x","x","x",NA,"uu",NA,"x",NA,"sub 1 on 60 1","sub 2 on 66 2",NA,NA,"x 2 off 66",NA,NA,"uu","x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2011-08-09,"Carlisle United","2","4","league-cup","H","",1786,224,NA,NA,"Mark Haywood","Boundary Park","uu",NA,NA,"x 3 off 101",NA,"x 2 off 86","x 1 off 71","x y","x g pen 24","x y","x","x","x","x",NA,"uu",NA,NA,NA,"sub 1 on 71 1","uu",NA,NA,"sub 2 on 86 2",NA,NA,"sub 3 on 101 3","x","uu",NA,NA,NA,NA,NA,NA,NA,NA
"7",2011-08-13,"Yeovil Town","1","3","league-one","A","",3237,202,24,8,"Gavin Ward","Huish Park","uu",NA,NA,"x y",NA,"x","x","x","x g pen 90",NA,"x","x","x 1 off 65","x",NA,"uu",NA,"x y",NA,"sub 1 on 65 1",NA,NA,NA,"uu",NA,NA,"uu","x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2011-08-16,"Scunthorpe United","2","1","league-one","A","",4142,352,19,20,"David Coote","Glanford Park","uu",NA,NA,"x",NA,"x y","sub 1 on 66 1","x","x 2 off 69",NA,"x y","x y","x y","x y red@90",NA,NA,NA,"uu",NA,"x","uu",NA,NA,"x",NA,NA,"x 1 g 16 off 66","sub 2 on 69 2 g 82 y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2011-08-20,"Rochdale","2","0","league-one","H","",5266,1168,13,21,"Eddie Ilderton","Boundary Park","uu",NA,"x g 45 y","x",NA,"x","x 2 off 78","x","x 3 g pen 32 off 89",NA,"x","x","x",NA,NA,NA,NA,"uu",NA,"x 1 off 54","sub 2 on 78 2",NA,NA,"x",NA,NA,NA,"sub 1 on 54 1",NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA
"10",2011-08-27,"Colchester United","1","4","league-one","A","",3023,202,16,11,"Steve Rushton","JobServe Stadium","uu",NA,"x","x",NA,"x","x","x","x g pen 37 y",NA,"x","x","x 2 off 46 y","uu",NA,NA,NA,"uu",NA,NA,NA,NA,NA,"x",NA,NA,"x 1 off 30","sub 1 on 30 1",NA,"sub 2 on 46 2",NA,NA,NA,NA,NA,NA,NA
