"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Paul Murray","Chris Iwelumo","Lee Barnard","Cliff Byrne","Lee Croft","Robbie Simpson","Matt Derbyshire","James Wesolowski","Dean Furman","Jonathan Grounds","Alex Cisak","Jean-Yves Mvoto","Jose Baxter","Korey Smith","Dean Bouzanis","Kirk Millar","Jordan Obita","Jordan Slew","Carl Winchester","James Tarkowski","Reece Wabara","Connor Hughes","Bobby De Cordova-Reid","David Mellor","Matt Smith","Cristian Montano","Youssouf M&#039;Changama","Glenn Belezika","Connor Brown","Dan Taylor","Chris Sutherland","Joe Cooper","Liam Jacob","Danny Gosset","Jack Truelove"
"1",2012-07-11,"Mossley","3","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2012-07-18,"Rotherham United","1","3","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2012-07-21,"York City","2","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2012-07-27,"Fleetwood Town","3","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2012-07-31,"Manchester City","2","1","Friendly","H","",6589,3048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2012-08-04,"Huddersfield Town","0","0","Friendly","H","",1757,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2012-08-13,"Sheffield Wednesday","2","4","efl-cup","H","",3474,1230,NA,NA,"Eddie Ilderton","Boundary Park",NA,NA,NA,"x 2 off 82","x","x",NA,"x","x y","x","x","x g 27",NA,NA,"uu","uu",NA,"x g 7","uu","x",NA,"sub 1 on 75 1",NA,NA,"sub 2 on 82 2",NA,"x 1 off 75",NA,"uu","uu",NA,NA,NA,NA,NA
"8",2012-08-18,"Milton Keynes Dons","0","2","league-one","A","",7409,512,22,4,"Iain Williamson","Stadium:mk",NA,NA,NA,"x","x","x y",NA,NA,"x y","x","x","x",NA,NA,"uu","uu",NA,"x 2 off 80","uu","x",NA,"sub 1 on 65 1",NA,NA,"uu","x 1 off 65","x",NA,"uu","sub 2 on 80 2",NA,NA,NA,NA,NA
"9",2012-08-21,"Walsall","1","1","league-one","H","",3496,169,19,22,"Mark Brown","Boundary Park",NA,NA,NA,"x y","x","x",NA,NA,"x","x","x","x",NA,NA,"uu","uu",NA,"x 1 off 67","uu","x",NA,"sub 2 on 71 2",NA,NA,"uu","x 2 off 71","x g 36",NA,"uu","sub 1 on 67 1",NA,NA,NA,NA,NA
"10",2012-08-25,"Stevenage","0","1","league-one","H","",3142,111,22,4,"Michael Naylor","-",NA,NA,NA,"x y","x","x",NA,NA,"x y","x","x","x",NA,NA,"uu","uu",NA,NA,"x 1 off 46","x 2 off 55",NA,"sub 3 on 63 3",NA,"uu","sub 1 on 46 1","x 3 off 63","x",NA,"sub 2 on 55 2","uu",NA,NA,NA,NA,NA
