"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Albert Rusnak","Charlie MacDonald","Adam Lockwood","Paul Rachubka","Terry Dunfield","Jon Stead","Cliff Byrne","Gary Harkins","James Wilson","James Wesolowski","Adam Rooney","Joel Byrom","David Worrall","James Dayton","Jonathan Grounds","Mark Oxley","John Paul Kissock","Joseph Mills","Jose Baxter","Korey Smith","Danny Philliskirk","Kirk Millar","Jonson Clarke-Harris","Genseric Kusunga","Carl Winchester","James Tarkowski","David Mellor","Cristian Montano","Luke Simpson","Anton Rodgers","Glenn Belezika","Connor Brown","Danny Gosset","Jack Truelove","Sidney Schmeltz","Edijs Joksts","Joel Coleman","Matteo Lanzoni","Tomos Clarke","Jordan Bove","John Pritchard","Michael Petrasso","Ellis Plummer","Wade Joyce","Adel Gafaiti","Rhys Turner","Danny Byrnes"
"1",2013-07-05,"Dinamo Bucuresti","2","2","Friendly","N","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2013-07-15,"Curzon Ashton","2","0","Friendly","A","",1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2013-07-18,"FC United of Manchester","2","1","Friendly","H","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2013-07-20,"Macclesfield Town","4","1","Friendly","H","",1049,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2013-07-23,"Accrington Stanley","1","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2013-07-27,"Huddersfield Town","3","2","Friendly","H","",1661,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2013-08-03,"Stevenage","4","3","league-one","A","",3009,735,3,18,"Darren Sheldrake","Lamex Stadium",NA,"x",NA,NA,NA,NA,"sub 3 on 89 3",NA,NA,"uu","x 1 off 71",NA,NA,"x 2 off 75","x","x",NA,NA,"x g 67 pen 87 y","x",NA,"uu","sub 1 on 71 1 y",NA,NA,"x g 51 y","x 3 off 89","x g 70","uu","uu",NA,"x y",NA,NA,"sub 2 on 75 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2013-08-06,"Derby County","0","1","efl-cup","H","",5000,976,NA,NA,"Robert Lewis","Boundary Park",NA,"uu",NA,NA,NA,NA,"uu",NA,NA,"sub 1 on 56 1","x 3 off 67",NA,NA,"x 2 off 66","x y","x",NA,NA,"x y","x",NA,"sub 3 on 67 3","x 1 off 56",NA,NA,"x","x","x y","uu","uu",NA,"x",NA,NA,"sub 2 on 66 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2013-08-10,"Walsall","0","1","league-one","H","",4538,377,10,3,"Gary Sutton","Boundary Park",NA,"x",NA,NA,NA,NA,"sub 1 on 36 1",NA,NA,"uu","x",NA,NA,"x 3 off 75","x","x",NA,NA,"x","x",NA,"uu",NA,NA,NA,"x","x 1 off 36 y","x 2 off 45","uu","sub 3 on 75 3",NA,"x",NA,"uu","sub 2 on 45 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013-08-17,"Peterborough United","1","2","league-one","A","",6184,358,17,2,"Tony Harrington","London Road",NA,"sub 3 on 83 3 g 90",NA,NA,NA,NA,"uu",NA,NA,"x","x 3 off 83",NA,NA,"x","x y","x",NA,"x","x 1 off 68","x",NA,"sub 1 on 68 1",NA,NA,NA,"x",NA,"x 2 off 71",NA,"uu","uu","x",NA,NA,"sub 2 on 71 2",NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
