"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Paddy Kenny","Adam Lockwood","Paul Rachubka","Jabo Ibehre","David Noble","Brian Wilson","Mat Sadler","Jonathan Forte","George Elokobi","Anthony Gerrard","James Wilson","Mike Jones","James Dayton","Amari Morgan-Smith","Joseph Mills","Liam Kelly","Jacob Mellis","Rhys Murphy","Danny Philliskirk","Michael Tidser","Jonson Clarke-Harris","Jake Kean","Neil Etheridge","Genseric Kusunga","Daniel Johnson","Carl Winchester","William Gros","David Mellor","Timothee Dieng","Connor Brown","Dominic Poleon","Conor Wilkinson","Jack Truelove","Luke Woodland","Joel Coleman","Jordan Bove","Rhys Turner","Paul Tyson","Jack Tuohy","Devante Jacobs"
"1",2014-07-05,"FCSB","1","4","Friendly","H","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2014-07-10,"Curzon Ashton","8","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2014-07-15,"Newcastle United","2","1","Friendly","H","",2919,852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2014-07-22,"Morecambe","2","2","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2014-08-02,"Huddersfield Town","3","1","Friendly","H","",450,1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2014-08-09,"Colchester United","2","2","league-one","A","",4023,632,11,10,"Dean Whitestone","JobServe Stadium",NA,NA,"x",NA,NA,"x",NA,"x 2 g 18 40 off 81","sub 1 on 80 1",NA,"x","x","x 1 off 80",NA,"x","x",NA,NA,"sub 3 on 85 3",NA,"x",NA,NA,"x",NA,"x 3 off 85","sub 2 on 81 2","uu","uu","uu",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"7",2014-08-12,"Middlesbrough","0","3","efl-cup","H","",4311,1087,NA,NA,"James Adcock","Boundary Park",NA,NA,"x",NA,NA,"x",NA,"uu","x",NA,"x y",NA,"sub 1 on 45 1",NA,"x 3 off 75","x",NA,NA,"x",NA,"x",NA,NA,"uu",NA,"sub 2 on 45 2","x 2 off 45","x 1 off 45","x","sub 3 on 75 3",NA,NA,NA,NA,"uu","uu",NA,NA,NA,NA
"8",2014-08-16,"Leyton Orient","1","3","league-one","H","",3754,193,19,11,"Darren Bond","Boundary Park",NA,NA,"x",NA,"sub 3 on 80 3",NA,NA,"x g 16","x",NA,"x","x","sub 2 on 79 2",NA,"x","x",NA,NA,"sub 1 on 63 1",NA,"x 3 off 80",NA,NA,"uu",NA,"x 2 off 79","uu","uu","x 1 off 63","x",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"9",2014-08-19,"Port Vale","1","1","league-one","H","",3592,749,21,9,"Kevin Wright","Boundary Park",NA,NA,"x",NA,"uu",NA,NA,"x","x",NA,"x g 64","x","uu","sub 1 on 76 1","x","x",NA,NA,"x",NA,"x",NA,NA,"uu",NA,"x 1 off 76","uu",NA,"uu","x",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"10",2014-08-23,"Preston North End","0","1","league-one","A","",11678,865,21,3,"Scott Duncan","Deepdale",NA,NA,"x",NA,"sub 3 on 87 3","x",NA,"x","x",NA,"x","x","sub 1 on 75 1","sub 2 on 76 2","x 3 off 87","x y",NA,NA,"x 1 off 75",NA,"x",NA,NA,"uu",NA,"x 2 off 76",NA,NA,"uu","uu",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
"11",2014-08-30,"Doncaster Rovers","2","0","league-one","A","",6313,681,17,11,"Tony Harrington","Eco Power Stadium",NA,NA,"x",NA,"uu","x",NA,"x 1 g pen 59 off 89 y","x",NA,"x","x","sub 1 on 89 1","uu","x","x",NA,NA,"x y",NA,"x g 4",NA,NA,"uu",NA,"x",NA,NA,"uu","uu",NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA
