"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","David Dunn","Ritchie Wellens","Ricardo Fuller","Brian Wilson","Mark Yeates","Michael Higdon","Jonathan Forte","Anthony Gerrard","Lee Croft","James Wilson","Mike Jones","Curtis Main","Joseph Mills","Richard Eckersley","Gavin Gunning","David Cornell","Liam Kelly","Rhys Murphy","Danny Philliskirk","Daniel Lafferty","Carl Winchester","Jay Fulton","Aaron Amadi-Holloway","Timothee Dieng","Jake Cassidy","Connor Brown","Dominic Poleon","Matt Palmer","Giorgio Rasulo","Jack Truelove","Joel Coleman","Jordan Bove","Cameron Dummigan","Eoghan O&#039;Connell","Tareiq Holmes-Dennis","Rhys Turner","Danny Byrnes","Simonas Stankevicius","Jack Tuohy","George Green","Timmy Thiele","Jonathan Burn","George Edmundson","Theo Vassell","Alex Read","Chris Renshaw"
"1",2015-07-11,"Chester City","1","0","Friendly","A","",1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2015-07-17,"Stirling Albion","5","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2015-07-21,"Bolton Wanderers","0","2","Friendly","H","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2015-07-25,"Blackburn Rovers","0","2","Friendly","H","",1651,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2015-07-28,"FC Halifax Town","2","1","Friendly","A","",867,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2015-08-01,"Carlisle United","1","3","Friendly","A","",1495,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2015-08-08,"Walsall","1","1","league-one","A","",5009,991,13,15,"Mark Brown","Banks's Stadium","sub 2 on 67 2",NA,NA,"x",NA,NA,"sub 1 on 63 1 g 83",NA,"x 3 off 75","x","x",NA,"x",NA,"uu","uu","x",NA,"sub 3 on 75 3",NA,"x 2 off 67",NA,NA,NA,"x","uu","uu",NA,NA,NA,"x",NA,NA,NA,NA,"x 1 off 63",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA
"8",2015-08-12,"Middlesbrough","1","3","efl-cup","H","",4182,1270,NA,NA,"Carl Boyeson","Boundary Park","sub 1 on 60 1",NA,NA,"x",NA,NA,"x 2 off 60",NA,"x","x",NA,NA,"x",NA,"x","x y","x",NA,"x g 90",NA,"x 1 off 60",NA,NA,NA,"x 3 off 84","uu","sub 2 on 60 2",NA,NA,NA,"uu",NA,NA,NA,NA,"sub 3 on 84 3",NA,NA,NA,"uu",NA,"uu",NA,NA,NA,NA
"9",2015-08-15,"Fleetwood Town","1","0","league-one","H","",4139,237,6,19,"Christopher Sarginson","Boundary Park","sub 2 on 77 2",NA,NA,NA,NA,NA,"sub 1 on 65 1",NA,"x","x","x",NA,"x",NA,NA,"uu","x",NA,"x g 36",NA,"uu",NA,NA,"uu","x 1 off 13","x","x 2 off 65",NA,NA,NA,"x",NA,NA,NA,NA,"uu",NA,NA,NA,"uu",NA,"x",NA,NA,NA,NA
"10",2015-08-18,"Colchester United","0","0","league-one","A","",2917,207,10,18,"Keith Hill","JobServe Stadium","sub 1 on 61 1",NA,NA,NA,NA,NA,"x",NA,"x","x","x",NA,"x",NA,NA,"uu","x 3 off 75 y","uu","x 1 off 61",NA,"uu",NA,NA,"sub 3 on 75 3",NA,"x","uu",NA,NA,NA,"x",NA,NA,NA,NA,"x 2 off 71",NA,NA,NA,"sub 2 on 71 2",NA,"x",NA,NA,NA,NA
