"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Peter Clarke","Paul Jason Green","Brian Wilson","Anthony Gerrard","Lee Croft","Chris Taylor","Josh Law","Temitope Obadeyi","Ryan Flynn","Billy Mckay","Ollie Banks","Carl Winchester","Connor Ripley","Chris Kettings","Aaron Amadi-Holloway","Lee Erwin","Jamie Reckord","Charles Dunne","Freddie Ladapo","Jake Cassidy","Ryan McLaughlin","Michael Ngoo","Luke Woodland","Marc Klok","Calaum Jahraldo-Martin","Cameron Dummigan","Cameron Burgess","Darius Osei","George Edmundson","Rob Hunt","Ousmane Fane","Kallum Mantack","Jamie Stott","Aiden O&#039;Neill","Dylan King","Brendy Glackin"
"1",2016-07-16,"Huddersfield Town","0","2","Friendly","H","",2163,814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2016-07-19,"Preston North End","1","3","Friendly","H","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2016-07-23,"AFC Fylde","0","1","Friendly","A","",512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2016-07-26,"Wigan Athletic","0","1","Friendly","H","",954,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2016-08-06,"Millwall","0","3","league-one","A","",9787,312,24,1,"Roger East","The Den","x","x","x",NA,"uu",NA,"sub 1 on 11 1",NA,"x","x","x 3 off 68 y",NA,"x","uu",NA,"x 2 off 60","x 1 off 11",NA,NA,"uu",NA,NA,NA,"sub 3 on 68 3",NA,NA,"x","sub 2 on 60 2","uu",NA,"x",NA,NA,NA,NA,NA
"6",2016-08-09,"Wigan Athletic","2","1","efl-cup","H","",2554,534,NA,NA,"Geoff Eltringham","Boundary Park","x","x","x",NA,"sub 1 on 45 1",NA,"x g 83",NA,"x g 18",NA,"sub 2 on 62 2",NA,"x","uu",NA,"x 3 off 87",NA,NA,NA,"sub 3 on 87 3","uu",NA,NA,"x 2 off 62 y",NA,NA,"x","uu","uu",NA,"x","x 1 off 45",NA,NA,NA,NA
"7",2016-08-13,"Walsall","0","0","league-one","H","",3914,427,21,6,"David Webb","Boundary Park","x","x",NA,NA,"uu",NA,"x y",NA,"x","x","sub 2 on 70 2",NA,"x","uu",NA,"x 3 off 83","x",NA,NA,NA,"sub 1 on 63 1",NA,"uu","x 1 off 63",NA,NA,"x","sub 3 on 83 3","uu",NA,"x 2 off 70",NA,NA,NA,NA,NA
"8",2016-08-16,"Northampton Town","0","0","league-one","H","",3327,279,19,14,"Seb Stockbridge","Boundary Park","x y","x","uu",NA,"x 1 off 64",NA,"x",NA,"x 3 off 89","x 2 off 82","uu",NA,"x","uu",NA,"x",NA,"x",NA,NA,NA,NA,NA,"sub 3 on 89 3","sub 1 on 64 1",NA,"x","sub 2 on 82 2","uu",NA,"x",NA,NA,NA,NA,NA
"9",2016-08-20,"Bury","1","0","league-one","A","",4479,1554,13,14,"Stephen Martin","Gigg Lane","x","x","uu",NA,"sub 1 on 76 1",NA,"x",NA,"x 3 off 87","x 2 off 78","uu",NA,"x","uu",NA,"x",NA,"x",NA,NA,"uu",NA,"sub 3 on 87 3","x 1 off 76 y",NA,NA,"x","sub 2 on 78 2",NA,NA,"x y",NA,NA,NA,NA,NA
"10",2016-08-23,"Preston North End","0","2","efl-cup","A","",5075,751,NA,NA,"Scott Duncan","Deepdale","x","sub 1 on 45 1","x",NA,"uu",NA,"x 2 off 67",NA,"uu",NA,"x 3 off 70",NA,"x","uu",NA,"x y",NA,"x",NA,"x","sub 2 on 67 2",NA,NA,"x 1 off 45",NA,NA,"x","sub 3 on 70 3","uu",NA,"x",NA,NA,NA,NA,NA
"11",2016-08-27,"Bradford City","1","1","league-one","A","",17793,685,NA,NA,"Ross Joyce","Northern Commercials Stadium","x g 5","x","uu",NA,"uu",NA,"x y",NA,"x y","x 3 off 87 y","sub 1 on 61 1",NA,"x y","uu",NA,"x 2 off 70",NA,"x",NA,"uu","sub 2 on 70 2",NA,NA,"x y",NA,NA,"x","sub 3 on 87 3",NA,NA,"x 1 off 61",NA,NA,NA,NA,NA
"12",2016-08-30,"Carlisle United","4","5","efl-trophy","H","",1897,158,NA,NA,"Peter Bankes","Boundary Park",NA,NA,"x",NA,"sub 1 on 45 1",NA,NA,NA,"x","x 3 g 16 off 75","x g 66 y","sub 3 on 75 3","uu","x",NA,NA,NA,"x","x",NA,"x 2 off 45",NA,"x 1 off 45 y",NA,NA,NA,"x","sub 2 on 45 2 g 48 49","x",NA,"uu","uu","uu",NA,NA,NA
"13",2016-09-03,"Shrewsbury Town","2","3","league-one","H","",3697,325,16,15,"Andy Haines","Boundary Park","x y","x","uu",NA,"sub 2 on 62 2",NA,"x g 24",NA,"x 2 off 62","x 1 off 61","sub 3 on 83 3",NA,"x","uu",NA,"x g 82",NA,"x 3 off 83","x",NA,"uu",NA,NA,"uu",NA,NA,"x","sub 1 on 61 1",NA,NA,"x y red@70",NA,NA,NA,NA,NA
"14",2016-09-10,"Chesterfield","0","0","league-one","H","",3457,367,17,14,"Mark Heywood","Boundary Park","x y","x","uu",NA,"sub 1 on 57 1",NA,"x",NA,"x 1 off 57 y","x 2 off 72","sub 3 on 84 3","uu","x","uu",NA,"x y",NA,"x",NA,NA,"sub 2 on 72 2",NA,NA,"x 3 off 84",NA,"uu","x","x",NA,NA,NA,NA,NA,NA,NA,NA
