"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Peter Clarke","Paul Jason Green","Brian Wilson","Craig Davies","Anthony Gerrard","Temitope Obadeyi","Ben Pringle","Ryan Flynn","Dan Gardner","Eoin Doyle","Ollie Banks","Abdelhakim Omrani","Patrick McEleney","Aaron Amadi-Holloway","Ben Wilson","Ryan McLaughlin","Johny Placide","Cameron Dummigan","Gevaro Nepomuceno","Gyamfi Kyeremeh","Jonathan Benteke","Queensy Menig","Courtney Duffus","Jack Ruddy","Darius Osei","Kundai Benyu","Duckens Nazon","Jack Byrne","Wilfried Moimbe","George Edmundson","Zeus de la Paz","Rob Hunt","Ousmane Fane","Kallum Mantack","Jamie Stott","Mohammed Maouche","Kean Bryan","Mason Fawns","Joseph Boyling","Jay Sheridan","Tom Hamer","Francois Antoine","Ryan Scholes-Beard","Chinedy Uche"
"1",2017-07-08,"Stalybridge Celtic","4","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2017-07-12,"Salisbury","3","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2017-07-14,"Swindon Town","1","1","Friendly","A","",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2017-07-18,"Curzon Ashton","1","1","Friendly","A","",1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2017-07-22,"Accrington Stanley","2","2","Friendly","A","",921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2017-07-27,"Girona","1","2","Friendly","H","",1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2017-08-01,"Manchester United Xi","0","1","Friendly","H","",2410,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2017-08-05,"Oxford United","0","2","league-one","H","",4874,1067,22,2,"David Webb","Boundary Park","x","x 1 off 59","x","x 3 off 76","x","sub 1 on 59 1",NA,"sub 2 on 75 2",NA,NA,"x 2 off 75",NA,NA,"x","x","x y",NA,"uu",NA,NA,NA,NA,"sub 3 on 76 3",NA,NA,NA,NA,NA,NA,"uu",NA,"x","x",NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"9",2017-08-09,"Burton Albion","2","3","efl-cup","H","",2176,95,NA,NA,"Scott Duncan","Boundary Park","x","x g 55","x","sub 1 on 55 1 g pen 67","x","sub 2 on 75 2",NA,NA,NA,NA,"uu",NA,NA,"x","x","x",NA,"x 2 off 75",NA,NA,NA,NA,"x 1 off 55",NA,NA,NA,NA,NA,NA,"uu",NA,"x","x 3 off 89",NA,"uu",NA,NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA
"10",2017-08-12,"Walsall","1","2","league-one","A","",4419,589,23,12,"Dean Whitestone","Banks's Stadium","x",NA,"sub 2 on 68 2","x 1 off 67","x y","sub 1 on 67 1",NA,NA,NA,NA,"x y",NA,NA,"x 3 off 84","x y","x g 32",NA,"x",NA,"uu",NA,NA,"sub 3 on 84 3",NA,"uu",NA,NA,NA,NA,"uu",NA,"x","x","uu",NA,NA,NA,"x 2 off 68",NA,NA,NA,NA,NA,NA
"11",2017-08-19,"Wigan Athletic","0","2","league-one","H","",5446,1823,24,1,"Eddie Ilderton","Boundary Park","x",NA,"x","uu","x",NA,NA,NA,"x",NA,"x 1 off 68 y",NA,NA,"x 2 off 68","x","x",NA,"x y",NA,"x 3 off 81",NA,NA,"sub 2 on 68 2",NA,"sub 1 on 68 1",NA,NA,NA,NA,"uu",NA,"x","uu","uu",NA,NA,NA,"sub 3 on 81 3",NA,NA,NA,NA,NA,NA
"12",2017-08-26,"Blackpool","1","2","league-one","A","",4642,1647,23,8,"Peter Bankes","Bloomfield Road","x",NA,"x",NA,"x 2 off 56",NA,NA,NA,"x",NA,"x y",NA,NA,"x","x",NA,NA,"x",NA,NA,NA,NA,NA,NA,"x g 70",NA,NA,NA,NA,"uu",NA,"x","x 1 off 55","sub 2 on 56 2",NA,NA,NA,"sub 1 on 55 1",NA,NA,NA,NA,NA,NA
"13",2017-08-29,"Port Vale","0","0","efl-trophy","H","",1429,128,NA,NA,"Michael Salisbury","Boundary Park","x",NA,"x",NA,"x",NA,NA,NA,"x",NA,"x",NA,NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 1 off 65",NA,NA,"x 2 off 90",NA,"uu",NA,"x","uu","sub 1 on 65 1",NA,NA,NA,"x","uu","uu","uu","uu",NA,NA
"14",2017-09-02,"Charlton Athletic","3","4","league-one","H","",3592,357,23,3,"Ross Joyce","Boundary Park","x y",NA,"x","x g pen 34 y","x y",NA,NA,NA,"x y","x g 51 y","x 1 off 27",NA,NA,NA,"x",NA,"uu",NA,NA,NA,NA,NA,NA,NA,"sub 3 on 89 3",NA,NA,"x 3 g 82 off 89",NA,"uu",NA,"x","sub 1 on 27 1 y red@54","uu",NA,NA,"x 2 off 77","sub 2 on 77 2",NA,NA,NA,NA,NA,NA
"15",2017-09-09,"Fleetwood Town","2","2","league-one","A","",3606,997,24,9,"Robert Jones","Highbury Stadium","x",NA,"uu","x 1 g 18 off 72","x","uu",NA,NA,"x","x","uu",NA,NA,"sub 1 on 72 1",NA,"x","uu","uu","x",NA,NA,"uu",NA,"x y",NA,NA,NA,"x y",NA,"x y",NA,NA,NA,NA,NA,NA,"x g 55",NA,NA,NA,NA,NA,NA,NA
"16",2017-09-12,"Bristol Rovers","3","2","league-one","A","",7908,123,21,12,"Brett Huxtable","The Memorial Stadium","x",NA,"uu","x 2 g 71 off 89","x",NA,NA,NA,"x y","x g 88","uu",NA,NA,"sub 2 on 89 2",NA,"x","uu","uu","x",NA,NA,"uu",NA,"x",NA,NA,NA,"x 1 g 49 off 79",NA,"x",NA,NA,"sub 1 on 79 1 y",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"17",2017-09-16,"Shrewsbury Town","1","2","league-one","H","",4150,602,24,1,"Ben Toner","Boundary Park","x",NA,"uu","x g 33","x y","sub 3 on 85 3",NA,NA,"x 1 off 75 y","x y red@90",NA,NA,NA,"uu",NA,"x","uu","uu","x",NA,NA,"sub 2 on 77 2",NA,"x",NA,NA,NA,"x",NA,"x 2 off 77",NA,NA,"sub 1 on 75 1",NA,NA,NA,"x 3 off 85",NA,NA,NA,NA,NA,NA,NA
"18",2017-09-23,"Rotherham United","1","5","league-one","A","",8250,825,24,8,"John Brooks","AESSEAL New York Stadium","x",NA,NA,"x g 21","x","x 4 off 62",NA,NA,"x 3 off 62 y",NA,"uu","sub 2 on 62 2",NA,NA,NA,"x 1 off 32","uu","sub 1 on 32 1","x y",NA,NA,"sub 3 on 62 3",NA,"x",NA,NA,NA,"x",NA,"x y",NA,"uu","uu",NA,NA,NA,"x 2 off 62",NA,NA,NA,NA,NA,NA,NA
"19",2017-09-26,"Peterborough United","3","2","league-one","H","",2975,263,23,3,"Anthony Backhouse","Boundary Park","x y",NA,"x red@57","x 2 off 62","uu","uu",NA,NA,"x g 80 y","x g 51 85","sub 2 on 62 2","sub 3 on 81 3",NA,NA,NA,NA,"x y","sub 1 on 59 1","x 1 off 59",NA,NA,"uu",NA,"uu",NA,NA,NA,"x 3 off 81",NA,NA,NA,"x y","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
"20",2017-09-30,"Portsmouth","2","1","league-one","A","",17848,466,18,15,"Craig Hicks","Fratton Park","x",NA,NA,"x y","uu","uu",NA,NA,"x 2 off 78","x g 16 47","sub 2 on 78 2 y","sub 1 on 65 1",NA,NA,NA,NA,"x y","x y","x 1 off 65",NA,NA,"sub 3 on 88 3",NA,"uu",NA,NA,NA,"x 3 off 88 y",NA,"uu",NA,"x","x",NA,NA,NA,"x y",NA,NA,NA,NA,NA,NA,NA
"21",2017-10-03,"Crewe Alexandra","1","0","efl-trophy","A","",976,177,NA,NA,"Seb Stockbridge","Alexandra Stadium","uu",NA,"x",NA,"x","sub 1 on 70 1",NA,NA,"x","x","sub 2 on 82 2","x 2 off 82",NA,NA,"uu",NA,"x",NA,"uu",NA,NA,"x 1 off 70",NA,NA,NA,NA,NA,"x g 42 y",NA,NA,NA,"x","x",NA,NA,NA,"x",NA,NA,NA,"uu",NA,NA,NA
"22",2017-10-14,"Blackburn Rovers","1","0","league-one","H","",7784,3350,17,10,"Darren Handley","Boundary Park","x",NA,"uu","x","sub 3 on 89 3","uu",NA,"uu","x 2 off 87","x 3 off 89",NA,"sub 2 on 87 2",NA,NA,NA,NA,"x","x y","x 1 off 67",NA,NA,"sub 1 on 67 1 g 90",NA,"uu",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA
