"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Peter Clarke","Chris O&#039;Grady","Giles Coke","Andy Taylor","Ishmael Miller","Jose Baxter","Dan Gardner","Christopher Missilou","Urko Vera","Cameron Dummigan","Gevaro Nepomuceno","Jonathan Benteke","Alex Palmer","Daniel Iversen","George Edmundson","Sam Surridge","Zeus de la Paz","Alex Iacovitti","Sohny Sefil","Jordan Lyden","Rob Hunt","Callum Lang","Jamie Stott","Mohammed Maouche","Oladapo Afolayan","Zachary Dearnley","Jay Sheridan","Tom Hamer","Chinedy Uche","Sam Graham","Johan Branger","Harry Norris","Ewan McFarlane","Max Norman","Jack Williams","Javid Swaby-Neavin","Harry Robinson","Mohamad Sylla"
"1",2018-07-10,"Ashton United","3","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2018-07-14,"Curzon Ashton","2","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2018-07-17,"FC United of Manchester","2","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2018-07-21,"Nottingham Forest","2","2","Friendly","H","",1768,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2018-07-28,"Preston North End","0","3","Friendly","H","",1660,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2018-08-04,"Milton Keynes Dons","1","2","league-two","H","",4764,397,16,7,"Neil Hair","Boundary Park",NA,"sub 2 on 58 2","x 1 off 45",NA,"x 2 off 58",NA,"x g 41","x 3 off 81 y",NA,NA,"sub 1 on 45 1","uu",NA,"x","x","x","uu",NA,NA,NA,"x",NA,"uu","sub 3 on 81 3",NA,NA,"uu","x",NA,"x","x",NA,NA,NA,NA,NA,NA,NA
"7",2018-08-11,"Forest Green Rovers","1","1","league-two","A","",2759,844,19,4,"Darren Drysdale","The New Lawn",NA,"x","x 1 off 45",NA,NA,"sub 1 on 45 1","x g pen 78","x 2 off 56 y",NA,NA,"x y","uu",NA,"x y","x",NA,"uu",NA,NA,NA,"x y",NA,"uu","sub 2 on 56 2",NA,NA,"uu","x",NA,"x","x","uu",NA,NA,NA,NA,NA,NA
"8",2018-08-14,"Derby County","0","2","efl-cup","H","",3376,1032,NA,NA,"Darren Bond","Boundary Park",NA,"x","x 2 off 77 y",NA,NA,"sub 1 on 57 1","x y","sub 2 on 77 2",NA,NA,"x","x 1 off 57",NA,"x","x y",NA,"uu",NA,NA,NA,"x",NA,"uu","uu",NA,NA,"uu","x",NA,"x","x",NA,NA,NA,NA,NA,NA,NA
"9",2018-08-18,"Macclesfield Town","3","1","league-two","H","",4330,495,12,23,"Andy Haines","Boundary Park","x","x","x","x","sub 2 on 83 2 g 90","uu","x","uu",NA,NA,"x 1 off 67 y",NA,NA,"x","x","x 2 g 16 off 83","uu",NA,NA,NA,"x","uu",NA,NA,NA,NA,NA,"uu",NA,"sub 1 on 67 1","x g 53",NA,NA,NA,NA,NA,NA,NA
"10",2018-08-21,"Yeovil Town","0","0","league-two","A","",2904,262,13,12,"John Busby","Huish Park","x","x",NA,"x","x 1 off 45 y","sub 1 on 45 1","x","x",NA,NA,"x 2 off 65","uu",NA,"x","x",NA,"uu",NA,NA,NA,"x","sub 2 on 65 2",NA,"uu",NA,NA,NA,"uu",NA,"uu","x",NA,NA,NA,NA,NA,NA,NA
