"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Chris Eagles","David Jones","David Wheater","Christopher McCann","Filipe Alexandre Morais","Jean-Louis Akpa Akpro","Gary Woods","Zak Mills","Carl Piergianni","Christopher Missilou","Danny Rowe","Urko Vera","Gregor Zabret","Emmanuel Dieseruvwe","Scott Wilson","Dominic McHale","Gevaro Nepomuceno","Zeus de la Paz","Alex Iacovitti","Sohny Sefil","Cameron Borthwick-Jackson","Jonny Smith","Jamie Stott","Mohammed Maouche","Christian N&#039;Guessan","Zachary Dearnley","Ashley Smith-Brown","Tom Hamer","Desire Segbe Azankpo","Tomas Egert","Johan Branger","Marvin Kokos","Kielen Adams","Javid Swaby-Neavin","Harry Robinson","Mohamad Sylla","Callum Dolan","Florian Gonzales","Dylan Fage","Ellis Allen","Taylor Jones","Lewis McKinney","Reece Gaskell","Zak Emmerson","Jack Grundy"
"1",2019-07-20,"Rochdale","2","3","Friendly","H","",1788,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2019-07-23,"Ashton United","2","2","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2019-07-27,"Stockport County","0","2","Friendly","H","",1227,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2019-07-30,"FC Halifax Town","0","1","Friendly","H","",939,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2019-08-03,"Forest Green Rovers","0","1","league-two","A","",2541,554,20,7,"Neil Hair","The New Lawn","uu",NA,"x y",NA,NA,NA,"x","x",NA,"x",NA,"sub 3 on 82 3","uu",NA,"x 1 off 64",NA,"sub 2 on 79 2",NA,"x","x",NA,NA,"uu","x y",NA,NA,NA,"x","sub 1 on 64 1",NA,"x 2 off 79",NA,NA,NA,NA,"x 3 off 82",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"6",2019-08-07,"Liverpool U21","3","2","efl-trophy","H","",1522,NA,NA,NA,"Paul Marsden","Boundary Park","x 2 off 69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 3 off 75","x",NA,NA,NA,"x",NA,"x g 29",NA,NA,NA,"x g 81",NA,NA,NA,"x","x","x 1 g 20 off 45",NA,NA,NA,"sub 2 on 69 2","uu","uu","x","sub 3 on 75 3","sub 1 on 45 1","x y","uu","uu",NA,NA,NA,NA
"7",2019-08-10,"Crewe Alexandra","1","2","league-two","H","",3884,417,22,12,"Carl Boyeson","Boundary Park","sub 3 on 75 3",NA,NA,NA,NA,NA,"x","x 1 off 45",NA,"x g 2",NA,"x 2 off 45","uu",NA,"x 3 off 75 y",NA,"sub 1 on 45 1",NA,"uu","x",NA,NA,"x","x",NA,NA,"x","x y","sub 2 on 45 2",NA,"x",NA,NA,NA,NA,"uu",NA,NA,"uu",NA,NA,NA,NA,NA,NA
"8",2019-08-13,"Blackburn Rovers","2","3","efl-cup","A","",5215,686,NA,NA,"Tom Nield","Ewood Park","uu",NA,NA,NA,NA,NA,"x","x",NA,"x",NA,"uu","uu",NA,"sub 2 on 80 2",NA,"x 1 g 14 off 66",NA,"x","x",NA,NA,"uu","x g 80 y",NA,NA,"x y","sub 3 on 87 3","x 2 off 80",NA,"sub 1 on 66 1",NA,NA,NA,NA,"x",NA,NA,"x 3 off 87",NA,NA,NA,NA,NA,NA
"9",2019-08-17,"Bradford City","0","3","league-two","A","",14447,1045,NA,NA,"Geoff Eltringham","Northern Commercials Stadium","sub 3 on 78 3",NA,NA,NA,NA,NA,"x","x",NA,"x 1 off 37",NA,"uu","uu",NA,"sub 1 on 37 1",NA,"x",NA,"x","x",NA,NA,"uu","x",NA,NA,"x 2 off 45 y","sub 2 on 45 2","x 3 off 78",NA,"uu",NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA
"10",2019-08-20,"Exeter City","0","0","league-two","H","",2805,179,23,4,"Graham Salisbury","Boundary Park","x 1 off 70",NA,"x",NA,NA,NA,"x y","sub 2 on 77 2",NA,NA,NA,"uu","uu",NA,"sub 1 on 70 1",NA,"x 2 off 77",NA,"x y","sub 3 on 89 3",NA,NA,"uu",NA,NA,NA,"x y","x","x",NA,"x 3 off 89",NA,"uu",NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA
"11",2019-08-24,"Cambridge United","2","1","league-two","A","",4004,220,22,11,"Scott Oldham","Abbey Stadium","x 1 off 55",NA,"x g 67",NA,NA,NA,"x","uu",NA,"x",NA,"x 2 g 28 off 55","uu",NA,"uu",NA,"x 3 off 65",NA,"x",NA,NA,NA,"uu","x y",NA,NA,"x","x y","sub 2 on 55 2",NA,"sub 3 on 65 3",NA,NA,NA,NA,"sub 1 on 55 1 y",NA,NA,"x y",NA,NA,NA,NA,NA,NA
