"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Nicky Adams","Bobby Grant","Sido Jombati","Laurie Walker","Gary Woods","Conor McAleny","Carl Piergianni","Danny Rowe","Brice Ntambwe","Ian Lawlor","George Blackwood","Dylan Bahamboula","Raphael Diarra","Marcel Hilssner","Andrea Badan","Cameron Borthwick-Jackson","Davis Keillor-Dunn","Laurence Bilboe","Serhat Tasdemir","Zachary Dearnley","Tom Hamer","Marcus Barnes","Kyle Jameson","Callum Whelan","Dylan Fage","Alfie McCalmont","Harry Clarke","Ben Garrity","Jordan Barnett","Vani Da Silva","Ben Hough","Junior Luamba","Mackenzie Chapman","Will Sutton","Harry Vaughan"
"1",2020-08-29,"Lincoln City","2","1","Friendly","H","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-09-05,"Carlisle United","3","0","efl-cup","H","",0,0,NA,NA,"Carl Boyeson","Boundary Park",NA,"x 3 g 37 off 89","x",NA,"uu","x g 89","x","uu",NA,"x",NA,NA,NA,NA,NA,"x","x 2 off 81",NA,NA,"sub 1 on 73 1","x",NA,"uu","x","x 1 off 73",NA,NA,"x g 29","sub 2 on 81 2","sub 3 on 89 3 y","uu",NA,NA,NA,NA
"3",2020-09-12,"Leyton Orient","0","1","league-two","H","",0,0,21,6,"Declan Bourne","Boundary Park",NA,"x 2 off 73","x",NA,"uu","x","x","sub 1 on 45 1",NA,"x",NA,NA,NA,NA,"uu","x","x",NA,NA,"sub 2 on 73 2","x",NA,NA,"x","x 1 off 45",NA,NA,"x","uu","uu","uu",NA,NA,NA,NA
"4",2020-09-15,"Morecambe","0","1","efl-cup","A","",0,0,NA,NA,"Ben Toner","Globe Arena",NA,"sub 2 on 66 2 y","x",NA,"uu","x","x","sub 3 on 83 3",NA,"x",NA,NA,NA,NA,"x 1 off 66 y","x","sub 1 on 66 1",NA,NA,"x","x y",NA,NA,"x y","x 2 off 66",NA,NA,"x 3 off 83 y","uu","uu","uu",NA,NA,NA,NA
"5",2020-09-19,"Stevenage","0","3","league-two","A","",0,0,22,5,"Charles Breakspear","Lamex Stadium",NA,"x","x",NA,"uu","x","x","x",NA,"x","uu",NA,NA,NA,"sub 1 on 62 1","x 1 off 62","x",NA,NA,NA,"x",NA,NA,"x","uu",NA,NA,"x y","uu","uu",NA,NA,NA,NA,NA
"6",2020-09-22,"Wolverhampton Wanderers","4","0","efl-trophy","H","",0,0,NA,NA,"Graham Salisbury","Boundary Park",NA,"x g 85","x",NA,NA,"sub 2 on 62 2 g 88 90","x","x g 42",NA,"x",NA,NA,NA,NA,"x 2 off 62 y",NA,"sub 3 on 77 3",NA,NA,NA,"x",NA,NA,"x 1 off 45","x 3 off 77",NA,NA,"sub 1 on 45 1","x y","uu","x y","uu","uu","uu",NA
"7",2020-09-26,"Crawley Town","2","3","league-two","H","",0,0,21,4,"Darren Drysdale","Boundary Park",NA,"x 2 off 67","x",NA,NA,"x g 79","x","x 3 g 30 off 84",NA,"x","sub 1 on 45 1",NA,NA,NA,"x","uu","x 1 off 45",NA,NA,NA,"x",NA,NA,"x","sub 2 on 67 2","x",NA,NA,"sub 3 on 84 3","uu","uu",NA,"uu",NA,NA
"8",2020-10-03,"Colchester United","3","3","league-two","A","",0,0,22,9,"Paul Howard","JobServe Stadium",NA,"uu","x",NA,NA,"x g pen 52 89","x g 53","uu",NA,"x","x","sub 2 on 45 2",NA,NA,"x 1 off 17","uu","uu",NA,NA,NA,"x",NA,NA,"x 2 off 45","x","x",NA,"x","sub 1 on 45 1 y",NA,NA,NA,"uu",NA,NA
"9",2020-10-06,"Doncaster Rovers","2","0","efl-trophy","H","",0,0,NA,NA,"Tom Nield","Boundary Park",NA,"x 3 off 82 y","x",NA,NA,"uu","x","x g 66",NA,"x","sub 3 on 82 3","x 1 off 45",NA,NA,NA,NA,"x 2 off 69",NA,NA,"sub 1 on 45 1 g 86","x",NA,NA,"x","x",NA,NA,"sub 2 on 69 2","x y",NA,"uu",NA,"uu","uu",NA
"10",2020-10-10,"Morecambe","2","3","league-two","H","",0,0,24,1,"Josh Smith","Boundary Park",NA,"uu","x 3 off 69",NA,NA,"x g 52 90","x","sub 3 on 69 3",NA,"x 1 off 45","x","sub 2 on 51 2",NA,NA,NA,NA,"uu",NA,NA,"x 2 off 51","x",NA,"uu","x","x",NA,NA,"x","x",NA,NA,NA,"sub 1 on 45 1","uu",NA
"11",2020-10-17,"Bolton Wanderers","2","1","league-two","A","",0,0,19,20,"Robert Madley","University of Bolton Stadium",NA,"uu","x 1 off 54",NA,NA,"x","x y","x y","x",NA,NA,"x 3 off 85",NA,NA,NA,NA,"uu","x",NA,"sub 3 on 85 3 g 90","x y",NA,"sub 1 on 54 1","x 2 off 76","uu","sub 2 on 76 2",NA,"x g 27 y","x",NA,NA,NA,"uu",NA,NA
"12",2020-10-20,"Carlisle United","1","1","league-two","H","",0,0,19,5,"Matt Donohue","Boundary Park",NA,"x 2 off 62","uu",NA,NA,"x","x","sub 2 on 62 2","x 1 off 45","x",NA,"sub 1 on 45 1",NA,NA,NA,NA,"uu","uu",NA,"x g 80","x",NA,"x 3 off 85","uu",NA,"x","sub 3 on 85 3","x","x y",NA,NA,NA,NA,NA,NA
"13",2020-10-24,"Port Vale","1","2","league-two","H","",0,0,22,10,"Martin Coy","Boundary Park",NA,"uu",NA,NA,NA,"x","x y","x y","uu","x",NA,"x",NA,NA,NA,"sub 1 on 45 1","sub 3 on 78 3","uu",NA,"x g 49","x 2 off 45",NA,"uu","x 3 off 78","sub 2 on 45 2","x","x",NA,"x 1 off 45 y",NA,NA,NA,NA,NA,NA
