"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Alan Sheehan","Nicky Adams","Laurie Walker","Temitope Obadeyi","Jordan Clarke","Carl Piergianni","Jamie Hopcutt","Christopher Missilou","Danny Rogers","Jayson Leutwiler","Jacob Blyth","Hallam Hope","Harrison McGahey","Jack Stobbs","Dylan Bahamboula","Ousseynou Cisse","Raphael Diarra","Andrea Badan","Mike Fondop-Talum","Davis Keillor-Dunn","Sam Hart","Zachary Dearnley","Kyle Jameson","Alex Hunt","Jamie Bowden","Callum Whelan","Dylan Fage","Faysal Bettache","Vani Da Silva","Junior Luamba","Will Sutton","Harry Vaughan","Kacper Danielewicz","Benny Couto","James Simms","Joseph Edwards","Trey Turner","Luke Southerington","Isaac Modi","Aaron Atkinson","Oliver Kilner"
"1",2021-07-10,"Ashton United","2","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2021-07-13,"Stalybridge Celtic","2","0","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2021-07-24,"Burnley","0","2","Friendly","H","",2064,982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2021-07-27,"Crewe Alexandra","2","1","Friendly","H","",799,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2021-08-07,"Newport County","0","1","league-two","H","",4094,317,21,6,"Tom Nield","Boundary Park","x 1 off 45","x",NA,NA,"x 3 off 73","x y",NA,NA,"x",NA,"x 2 off 58 y",NA,NA,"sub 3 on 73 3",NA,"x",NA,"uu",NA,"x","x y",NA,"sub 1 on 45 1",NA,"x","x",NA,NA,"uu","sub 2 on 58 2",NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA,NA
"6",2021-08-10,"Tranmere Rovers","2","2","efl-cup","H","",2684,845,NA,NA,"Scott Oldham","Boundary Park",NA,"sub 1 on 62 1",NA,NA,NA,"x",NA,NA,"x",NA,"x 2 off 66",NA,NA,"x","x 3 g 59 off 70","x",NA,"uu",NA,"x y","x",NA,"x",NA,"x","uu","x 1 off 62",NA,NA,"sub 2 on 66 2",NA,"sub 3 on 70 3","uu",NA,NA,NA,NA,NA,NA,NA,NA
"7",2021-08-14,"Bradford City","1","2","league-two","A","",17624,1119,NA,NA,"Stephen Martin","Northern Commercials Stadium",NA,"x 2 off 76",NA,NA,"x 3 off 89","x y","x 1 off 54",NA,"x",NA,"sub 3 on 89 3","sub 1 on 54 1",NA,"x","x g 90 y","x","uu",NA,NA,"x","x y","sub 2 on 76 2","uu",NA,NA,"x","uu",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA,NA
"8",2021-08-17,"Bristol Rovers","0","1","league-two","A","",6005,286,24,15,"Sam Purkiss","The Memorial Stadium","uu","sub 3 on 65 3","x",NA,"x","x",NA,NA,NA,NA,"sub 2 on 45 2","x",NA,"x 1 off 45","x","x y","sub 1 on 45 1 y",NA,NA,"x 3 off 65","x",NA,NA,NA,NA,"x y","x 2 off 45",NA,NA,"uu",NA,"uu","uu",NA,NA,NA,NA,NA,NA,NA,NA
"9",2021-08-21,"Colchester United","1","2","league-two","H","",3496,187,24,13,"Samuel Barrott","Boundary Park","x y","x 1 off 45","x",NA,"x","x",NA,NA,NA,NA,NA,"x y",NA,NA,"x g 73","x 3 off 54","sub 3 on 54 3 y",NA,NA,"x 2 off 45","x","uu",NA,NA,NA,"uu","uu","x",NA,"sub 1 on 45 1",NA,"sub 2 on 45 2","uu",NA,NA,NA,NA,NA,NA,NA,NA
"10",2021-08-24,"Accrington Stanley","0","0","efl-cup","H","",2362,366,NA,NA,"Seb Stockbridge","Boundary Park",NA,"sub 3 on 69 3","x",NA,"x","x",NA,NA,NA,NA,NA,"x 1 off 61",NA,NA,"x",NA,"x 3 off 69","uu",NA,"sub 1 on 61 1","x","sub 2 on 61 2","uu",NA,NA,"x","x",NA,"uu","x",NA,"x 2 off 61","uu",NA,NA,NA,NA,NA,NA,NA,NA
