"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Peter Clarke","Chris Porter","John Rooney","Jordan Clarke","Dan Gardner","Zaine Francis-Angol","Liam Hogan","Jayson Leutwiler","Hallam Hope","Oscar Threlkeld","Lois Maynard","Harrison McGahey","Jack Stobbs","Mark Kitching","Devarn Green","Mathew Hudson","Mark Shelton","Magnus Norman","Ben Tollitt","Joe Nuttall","Bassala Sambou","Charlie Cooper","Mike Fondop-Talum","Josef Yarney","Nathan Sheron","Alex Reid","Luke Burgess","Ellis Chapman","Timmy Abraham","Junior Luamba","Conor Carty","Will Sutton","Charlie Wellens","Jordan Windass","Mitchell Roberts","Harry Vaughan","James Carragher","Benny Couto","Joseph Edwards","Oliver Kilner","Joseph McGlynn","David Okagbue","Sydie Peck"
"1",2022-07-09,"Bamber Bridge","0","0","Friendly","A","",765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2022-07-16,"Wigan Athletic","1","3","Friendly","H","",1150,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2022-07-19,"Bradford Park Avenue","0","2","Friendly","A","",362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2022-07-23,"Mansfield Town","0","3","Friendly","H","",919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2022-07-26,"Radcliffe Borough","2","1","Friendly","A","",981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2022-07-30,"AFC Fylde","1","2","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2022-08-06,"Torquay United","0","0","national-league","A","",3690,1000,15,16,"Lee Collins","Plainmoor",NA,"x 1 off 60",NA,"x","x y red@74","x","x y","uu","x 3 off 89",NA,NA,"sub 2 on 79 2","x",NA,NA,NA,NA,"x","x 2 off 79",NA,NA,"x","sub 1 on 60 1",NA,"x",NA,"uu",NA,NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2022-08-13,"Dorking Wanderers","3","2","national-league","H","",8412,100,NA,NA,"Elliot Swallow","Boundary Park",NA,"x 1 g 53 off 62",NA,"x",NA,"x","x","uu","x 2 g 12 off 76",NA,NA,"sub 3 on 88 3","x",NA,NA,NA,NA,"x","x g 66",NA,NA,"x","sub 1 on 62 1",NA,"x",NA,"x 3 off 88",NA,NA,"sub 2 on 76 2 y",NA,NA,NA,NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"9",2022-08-16,"Wealdstone","1","2","national-league","H","",6869,150,10,4,"Andrew Miller","Boundary Park",NA,"x 1 off 56",NA,"x","x y","x","x","uu","x",NA,NA,"uu","x 3 off 89",NA,NA,NA,NA,"x","x g 48",NA,NA,"x 2 off 67","sub 1 on 56 1",NA,"x",NA,"sub 2 on 67 2",NA,NA,"sub 3 on 89 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2022-08-20,"Southend United","0","1","national-league","A","",5414,301,16,13,"Adrian Quelch","Roots Hall",NA,NA,NA,"x 3 off 69","x 1 off 36","x","x","uu","x",NA,NA,"x","x",NA,NA,NA,NA,"x","x",NA,NA,"x 2 off 53","x",NA,NA,NA,"sub 1 on 36 1",NA,NA,NA,NA,NA,NA,"sub 3 on 69 3",NA,"sub 2 on 53 2",NA,NA,NA,NA,NA,NA,NA
"11",2022-08-26,"Aldershot Town","2","1","national-league","H","",6635,208,NA,NA,"Steven Copeland","Boundary Park",NA,NA,NA,"x","x g 20 y",NA,NA,"uu","x g 90","x y",NA,"x","uu",NA,NA,NA,NA,"x","x y",NA,NA,"sub 1 on 77 1","x 2 off 89",NA,"x",NA,"x 1 off 82",NA,NA,"sub 3 on 89 3",NA,NA,NA,NA,"x","sub 2 on 82 2",NA,NA,NA,NA,NA,NA,NA
"12",2022-08-29,"York City","1","1","national-league","A","",6833,1688,15,13,"Matthew Dicicco","LNER Community Stadium",NA,NA,NA,"x","x",NA,NA,"uu","x g 47","x y",NA,"x","sub 1 on 80 1",NA,NA,NA,NA,"x","x 1 off 80",NA,NA,"x","x 2 off 88",NA,"x",NA,"uu",NA,NA,"sub 2 on 88 2",NA,NA,NA,NA,"x y","uu",NA,NA,NA,NA,NA,NA,NA
