"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Joe Garner","James Norwood","Dan Gardner","Kieron Freeman","Liam Hogan","Charlie Raglan","Brennan Dickenson","Hallam Hope","Harrison McGahey","Tom Conlon","Mark Kitching","Devarn Green","Mathew Hudson","Mark Shelton","Magnus Norman","Ben Tollitt","Joe Nuttall","Mike Fondop-Talum","Andy Dallas","Nathan Sheron","Alex Reid","Shaun Hobson","Josh Lundstram","Daniel Ward","Kurt Willoughby","Daniel Langley","Ethan Walker","Will Sutton","Oli Hammond","Josh Stones","Sai Sachdev","Kofi Moore"
"1",2023-07-08,"Hyde United","0","0","Friendly","A","",1359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2023-07-15,"Southport","1","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2023-07-18,"Chorley","6","1","Friendly","A","",864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2023-07-22,"Curzon Ashton","2","1","Friendly","A","",1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2023-07-25,"Barrow","1","1","Friendly","A","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2023-07-29,"Mansfield Town","0","3","Friendly","H","",2425,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2023-08-05,"Southend United","0","4","national-league","A","15:00",5881,660,24,1,"Richie Watkins","Roots Hall",NA,"x y","uu",NA,"x y","x","sub 1 on 29 1 y",NA,NA,NA,"x",NA,"uu","x","x",NA,"x 2 off 71","sub 2 on 71 2",NA,"x y",NA,"x y",NA,"x 1 off 29","uu",NA,NA,"x red@57",NA,NA,NA,NA
"8",2023-08-12,"Aldershot Town","5","1","national-league","H","15:00",7593,251,NA,NA,"Jamie O'Connor","Boundary Park",NA,"x 3 g 32 86 off 89","sub 3 on 89 3","x 1 off 75","x","x y","x 2 g 36 88 off 89",NA,NA,NA,"x",NA,NA,"x","x","x g 43 y","x","uu",NA,"x","uu","sub 1 on 75 1",NA,NA,"sub 2 on 89 2",NA,NA,NA,NA,NA,NA,NA
"9",2023-08-15,"FC Halifax Town","1","2","national-league","H","19:45",7964,808,NA,NA,"Steven Copeland","Boundary Park",NA,"x y","uu","x","x","x","x",NA,NA,NA,"x y",NA,"x","x g 40 y",NA,"x 2 off 81","x 1 off 66","sub 1 on 66 1 y",NA,"x","sub 2 on 81 2","uu",NA,NA,"uu",NA,NA,NA,NA,NA,NA,NA
"10",2023-08-19,"Chesterfield","1","1","national-league","A","12:30",8164,1388,NA,NA,"Matthew Russell","Proact Stadium",NA,"x 3 g 90 off 89","sub 1 on 62 1","x","x y","x","x",NA,NA,NA,"x",NA,"x","x y",NA,"sub 3 on 89 3","x 2 off 74 y","sub 2 on 74 2",NA,"x","uu","uu",NA,NA,"x 1 off 62",NA,NA,NA,NA,NA,NA,NA
