"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Joe Garner","Corry Evans","James Norwood","Sam Clucas","Dan Gardner","Jake Caprice","Liam Hogan","Charlie Raglan","Billy Waters","Tom Conlon","Jordan Rossiter","Otis Khan","Emmanuel Monthe","Mark Kitching","Tom Pett","Mathew Hudson","Josh Kay","Matthew Worthington","Mike Fondop-Talum","Reagan Ogle","Harry Charsley","Alex Reid","Shaun Hobson","Josh Lundstram","Joe Pritchard","Scott Moloney","Callum Dolan","Kian Harratt","Will Sutton","Jack Stretton","Jake Leake","Kane Drummond","Oli Hammond","Tom Donaghy","Josh Stones","Samuel Taylor","Jesurun Uchegbulam","Kai Payne","Vimal Yoganathan","Kofi Moore","Jake Dennis"
"1",2024-07-13,"Stockport County","1","0","Friendly","H","15:00",2187,883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2024-07-16,"Warrington Rylands","1","2","Friendly","A","19:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2024-07-20,"Lincoln City","0","0","Friendly","H","15:00",1138,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2024-07-23,"Southport","0","2","Friendly","A","19:45",928,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2024-07-27,"Radcliffe Borough","0","1","Friendly","A","15:00",1142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2024-07-30,"Warrington Town","3","3","Friendly","A","19:45",803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2024-08-03,"Shrewsbury Town","1","0","Friendly","H","15:00",1247,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2024-08-10,"Braintree Town","3","0","national-league","H","15:00",5552,97,2,24,"Paul Cooper","Boundary Park",NA,NA,NA,NA,"x 3 off 74","sub 2 on 74 2","uu","x",NA,"x",NA,NA,"x","sub 1 on 69 1",NA,"x",NA,NA,"x 4 g 59 off 76","x 2 off 74","x g 29","sub 4 on 76 4","x","sub 3 on 74 3",NA,"uu",NA,NA,"uu",NA,NA,NA,"x",NA,NA,NA,"x 1 g 8 off 69",NA,NA,NA,NA
"9",2024-08-17,"Wealdstone","1","0","national-league","A","15:00",1895,600,3,20,"Benjamin Wyatt","Grosvenor Vale",NA,NA,NA,NA,"x 3 off 67","sub 1 on 60 1","uu","x y",NA,"x y",NA,NA,"x","sub 4 on 87 4",NA,"x","sub 2 on 60 2",NA,"x","x 1 off 60","x g 85","uu","x","sub 3 on 67 3",NA,"uu",NA,NA,NA,NA,NA,NA,"x 2 off 60",NA,NA,NA,"x 4 off 87",NA,NA,NA,NA
"10",2024-08-20,"AFC Fylde","1","1","national-league","H","19:45",5682,182,4,16,"","Boundary Park",NA,NA,NA,NA,"x y","x 1 off 73","uu","x y",NA,NA,NA,NA,"x g 60","sub 3 on 82 3",NA,"x","x 2 off 73 y",NA,"x","sub 1 on 73 1","x","uu","x","x",NA,"uu",NA,NA,"uu",NA,NA,NA,"sub 2 on 73 2",NA,NA,NA,"x 3 off 82",NA,NA,NA,NA
"11",2024-08-24,"Aldershot Town","1","4","national-league","A","15:00",2407,302,NA,NA,"Matthew Russell","The EEB Stadium",NA,NA,NA,NA,"sub 4 on 83 4","sub 2 on 61 2","uu","x",NA,"x y",NA,NA,"x","uu",NA,"x","x 4 off 83",NA,"x 3 off 61","x g 60 y","x 1 off 57","sub 3 on 61 3","x","x",NA,"uu",NA,NA,NA,NA,NA,NA,"sub 1 on 57 1",NA,NA,NA,"x 2 off 61",NA,NA,NA,NA
"12",2024-08-26,"Gateshead","1","1","national-league","H","15:00",5583,213,8,2,"Gareth Rhodes","Boundary Park",NA,NA,"x 1 off 61",NA,"x 2 off 68","sub 3 on 78 3","uu","x",NA,"x",NA,NA,"x g 55","uu",NA,"x",NA,NA,"sub 1 on 61 1","x 3 off 78","x",NA,"x","x y",NA,"uu","sub 2 on 68 2",NA,NA,NA,NA,NA,"uu",NA,NA,NA,"x",NA,NA,NA,NA
"13",2024-08-31,"Altrincham","1","1","national-league","A","15:00",3561,1471,9,15,"Ollie Yates","Moss Lane",NA,NA,"x 3 g 23 off 59",NA,"x 2 off 59 y","uu","uu","x",NA,"x y",NA,NA,"x y","sub 1 on 59 1 y",NA,"x",NA,NA,"sub 3 on 59 3","x y","x",NA,"x","x",NA,"uu","sub 2 on 59 2",NA,NA,NA,NA,NA,"uu",NA,NA,NA,"x 1 off 59 y",NA,NA,NA,NA
"14",2024-09-07,"Southend United","1","1","national-league","H","15:00",5622,357,9,16,"James Linington","Boundary Park",NA,NA,"x",NA,"sub 1 on 16 1","sub 3 on 57 3","uu","x",NA,"x",NA,"sub 5 on 73 5","x","sub 4 on 73 4",NA,"x",NA,NA,"sub 2 on 45 2 g 76","x","x 1 off 16",NA,"x 3 off 57","x 4 off 73",NA,"uu","x 2 off 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x 5 off 73",NA,NA,NA,NA
"15",2024-09-10,"FC Halifax Town","1","1","national-league","A","19:45",3146,1599,NA,NA,"Aaron Bannister","The Shay Stadium",NA,NA,"sub 3 on 84 3",NA,"x","x","uu","x",NA,"x",NA,"sub 1 on 59 1 y red@81","x","x g 47",NA,"x",NA,NA,"x 3 off 84 y","x",NA,"uu","uu","x 2 off 75",NA,"uu","x 1 off 59 y",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sub 2 on 75 2",NA,NA,NA,NA
