"","Date","opposition","goals1","goals2","division","venue","Kickoff","attendance","awayatt","position (after)","opp position","referee","stadium","Ryan Woods","Billy Waters","Kieron Morris","Donervon Daniels","Tom Conlon","Emmanuel Monthe","Jamie Robson","Mathew Hudson","Joe Quigley","Josh Kay","Mike Fondop-Talum","Luke Hannant","Reagan Ogle","Josh Hawkes","Kian Harratt","Jack Stevens","Will Sutton","Jake Leake","Kane Drummond","Oli Hammond","Tom Donaghy"
"1",2025-07-19,"Dundee United","0","0","Friendly","A","14:00",3428,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2025-07-26,"Bradford City","0","1","Friendly","H","13:00",2513,697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2025-08-02,"Milton Keynes Dons","0","0","league-two","A","15:00",9384,1891,NA,NA,"Matthew Russell","Stadium:mk","x","uu","x 1 off 59","x","x y","x",NA,"x",NA,NA,"x y","sub 2 on 68 2 y","x","sub 1 on 59 1","uu","x 2 off 68","uu","x 3 off 84","x","sub 3 on 84 3","uu"
"4",2025-08-05,"Accrington Stanley","1","3","league-cup","A","19:45",2042,1068,NA,NA,"Scott Oldham","Wham Stadium","x 3 off 79","uu","x 4 off 79 y",NA,"sub 3 on 79 3","x",NA,"sub 1 on 37 1",NA,"uu","x","x","x g 62","x 2 off 61","x","sub 4 on 79 4","x",NA,"sub 2 on 61 2","x","x 1 off 37"
"5",2025-08-09,"Colchester United","1","1","league-two","H","15:00",7799,371,NA,NA,"Craig Hicks","Boundary Park","x 1 off 45","uu","x 2 off 52","x","x y","x","x","x","x",NA,"sub 2 on 52 2","sub 1 on 45 1","x","x g 36","sub 3 on 84 3",NA,"uu",NA,"x 3 off 84","uu","uu"
"6",2025-08-16,"Swindon Town","","","league-two","H","12:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2025-08-19,"Bristol Rovers","","","league-two","A","19:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2025-08-23,"Fleetwood Town","","","league-two","A","15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2025-08-26,"Manchester City U21","","","efl-trophy","H","19:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2025-08-30,"Gillingham","","","league-two","H","15:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
