"","away_team.away_team_name","home_team.home_team_name","match_date","kick_off","home_score","away_score","match_status","match_status_360","last_updated","last_updated_360","match_week","competition.competition_id","competition.country_name","competition.competition_name","season.season_id","season.season_name","home_team.home_team_id","home_team.home_team_gender","home_team.home_team_group","home_team.country.id","home_team.country.name","away_team.away_team_id","away_team.away_team_gender","away_team.away_team_group","away_team.country.id","away_team.country.name","metadata.data_version","metadata.shot_fidelity_version","metadata.xy_fidelity_version","competition_stage.id","competition_stage.name","stadium.id","stadium.name","stadium.country.id","stadium.country.name","referee.id","referee.name","referee.country.id","referee.country.name","home_manager_id","home_manager_name","home_manager_dob","home_manager_nat","away_manager_id","away_manager_name","away_manager_dob","away_manager_nat","match_id","colour1.1","colour2.1","colour1.2","colour2.2"
"3","Accrington Stanley","Bromley",2025-04-05,"14:00:00.000",4,0,"available","unscheduled","2025-04-12T16:15:58.864949",NA,41,5,"England","League Two",317,"2024/2025",1024,"male",NA,68,"England",79,"male",NA,68,"England","1.1.0","2","2",1,"Regular Season",1001994,"Hayes Lane stadium",68,"England",350,"Alan Young",68,"England",5945,"Andrew John Woodman","1971-08-11",NA,1004526,"John Doolan","1968-11-10",NA,3942086,"red","black","red",""
"8","Accrington Stanley","Morecambe",2025-02-15,"17:00:00.000",2,0,"available","unscheduled","2025-02-22T22:30:43.287330",NA,32,5,"England","League Two",317,"2024/2025",82,"male",NA,68,"England",79,"male",NA,68,"England","1.1.0","2","2",1,"Regular Season",586,"Mazuma Stadium",68,"England",42,"Andy Davies",68,"England",62,"Derek Watt Adams","1975-06-25",NA,1004526,"John Doolan","1968-11-10",NA,3941982,"red","white","red",""
"9","Accrington Stanley","Chesterfield",2024-11-09,"17:00:00.000",0,3,"available","unscheduled","2024-11-18T16:55:49.639059",NA,15,5,"England","League Two",317,"2024/2025",2008,"male",NA,68,"England",79,"male",NA,68,"England","1.1.0","2","2",1,"Regular Season",117517,"SMH Group Stadium",68,"England",43,"Darren Drysdale",68,"England",390,"Paul Anthony Cook","1967-02-22",NA,1004526,"John Doolan","1968-11-10",NA,3941774,"blue","white","red",""
"10","Accrington Stanley","Doncaster Rovers",2024-08-10,"17:00:00.000",4,1,"available","unscheduled","2024-09-01T21:26:55.682309",NA,1,5,"England","League Two",317,"2024/2025",74,"male",NA,68,"England",79,"male",NA,68,"England","1.1.0","2","2",1,"Regular Season",56,"Eco-Power Stadium",68,"England",64,"Ross Joyce",68,"England",180,"Grant McCann","1980-04-14",NA,1004526,"John Doolan","1968-11-10",NA,3941609,"red","","red",""
"13","Accrington Stanley","Harrogate Town",2025-03-01,"17:00:00.000",2,1,"available","unscheduled","2025-03-02T21:25:56.557729",NA,34,5,"England","League Two",317,"2024/2025",1485,"male",NA,68,"England",79,"male",NA,68,"England","1.1.0","2","2",1,"Regular Season",1001995,"Exercise Stadium",68,"England",2411,"Matthew Corlett",68,"England",4492,"Simon Weaver","1977-12-20",NA,1004526,"John Doolan","1968-11-10",NA,3942006,"yellow","","red",""
"15","Accrington Stanley","Walsall",2025-04-26,"14:00:00.000",0,1,"available","unscheduled","2025-05-15T16:57:15.485667",NA,45,5,"England","League Two",317,"2024/2025",97,"male",NA,68,"England",79,"male",NA,68,"England","1.1.0","2","2",1,"Regular Season",72,"Poundland Bescot Stadium",68,"England",444,"Alex Chilowicz",241,"United States of America",1003055,"Mathew John Sadler","1985-02-26",NA,1004526,"John Doolan","1968-11-10",NA,3942304,"red","","red",""
"18","Accrington Stanley","Barrow",2025-03-08,"17:00:00.000",2,0,"available","unscheduled","2025-03-23T19:05:22.471078",NA,36,5,"England","League Two",317,"2024/2025",3179,"male",NA,68,"England",79,"male",NA,68,"England","1.1.0","2","2",1,"Regular Season",118150,"SO Legal Stadium",68,"England",2140,"Declan Bourne",68,"England",1000680,"Andrew Whing","1984-09-20",NA,1004526,"John Doolan","1968-11-10",NA,3942024,"blue","white","red",""
"19","Accrington Stanley","Cheltenham Town",2024-10-01,"21:45:00.000",2,1,"available","unscheduled","2024-10-18T09:26:20.706962",NA,9,5,"England","League Two",317,"2024/2025",83,"male",NA,68,"England",79,"male",NA,68,"England","1.1.0","2","2",1,"Regular Season",581,"Completely-Suzuki Stadium",68,"England",2343,"Oliver Mackey",68,"England",350,"Michael John Flynn","1980-10-17",NA,1004526,"John Doolan","1968-11-10",NA,3941704,"red","","red",""
"20","Accrington Stanley","Grimsby Town",2024-12-03,"21:45:00.000",5,2,"available","unscheduled","2024-12-25T05:14:59.953525",NA,18,5,"England","League Two",317,"2024/2025",107,"male",NA,68,"England",79,"male",NA,68,"England","1.1.0","2","2",1,"Regular Season",583,"Blundell Park",68,"England",1879,"Scott Simpson",68,"England",345,"David Artell","1980-11-22",NA,1004526,"John Doolan","1968-11-10",NA,3941814,"black","","red",""
"33","Accrington Stanley","Crewe Alexandra",2025-01-25,"17:00:00.000",0,1,"available","unscheduled","2025-02-03T00:16:15.635514",NA,28,5,"England","League Two",317,"2024/2025",329,"male",NA,68,"England",79,"male",NA,68,"England","1.1.0","2","2",1,"Regular Season",118004,"Mornflake Stadium",68,"England",444,"Alex Chilowicz",241,"United States of America",1002418,"Lee Bell","1983-01-26",NA,1004526,"John Doolan","1968-11-10",NA,3941933,"red","","red",""
