"","match_id","team_name","match_date","goals","pos.before","pos.after","shot.statsbomb_xg","shot","shot.on.targettotal","pass","pass.lengthmean","pass.successmean","miscontrol","turnovers","tackles","dispossessed","foul","player_match_possession","player_match_pressures","player_match_pressure_regains","away_team"
"2",3941603,"Morecambe",2024-10-26,2,24,24,0.9,14,10,352,24.59,61.6,8,11,20,12,12,44.8,189,23,0
"1",3941603,"Chesterfield",2024-10-26,2,8,6,0.99,9,7,437,23.79,70.9,11,14,15,17,10,55.2,156,34,1
"3",3941604,"Chesterfield",2024-08-09,1,8,1,0.97,13,10,625,22.55,81.4,13,19,8,8,9,64.4,95,18,0
"4",3941604,"Swindon Town",2024-08-09,1,22,2,0.25,6,2,345,24.97,72.2,12,12,14,8,16,35.6,168,21,1
"6",3941605,"Harrogate Town",2024-08-10,0,16,21,0.39,11,5,433,24.12,72.1,8,16,12,20,9,56.6,106,24,0
"5",3941605,"Bromley",2024-08-10,0,7,4,1.37,14,9,331,26.99,61,15,18,26,10,15,43.4,132,27,1
"8",3941606,"Walsall",2024-08-10,1,24,10,0.54,9,6,379,25.88,63.3,10,13,29,13,15,42.6,154,33,0
"7",3941606,"Morecambe",2024-08-10,1,18,19,0.1,4,2,508,24.68,75.2,12,20,16,21,10,57.4,160,29,1
"10",3941607,"Gillingham",2024-08-10,4,14,2,1.33,15,13,370,25.26,61.6,13,19,14,6,17,46.4,157,33,0
"9",3941607,"Carlisle United",2024-08-10,4,8,24,1.55,18,9,430,24.94,67,15,19,12,11,11,53.6,136,30,1
"11",3941608,"Fleetwood Town",2024-08-10,1,13,9,1.17,9,8,321,25.5,63.9,12,21,13,8,15,35.2,175,28,0
"12",3941608,"Grimsby Town",2024-08-10,1,15,18,0.54,5,4,583,23.19,80.1,19,22,16,10,10,64.8,143,32,1
"14",3941609,"Doncaster Rovers",2024-08-10,4,12,1,0.94,14,6,484,22.73,70.2,21,35,22,12,7,58.9,133,23,0
"13",3941609,"Accrington Stanley",2024-08-10,4,3,23,0.23,3,3,339,26.42,58.4,14,18,24,19,20,41.1,207,27,1
"15",3941610,"Cheltenham Town",2024-08-10,3,9,6,1.68,16,10,347,25.5,66.9,8,13,15,7,15,47.4,127,21,0
"16",3941610,"Newport County AFC",2024-08-10,3,19,15,1.72,11,8,383,23.72,67.9,11,14,12,12,10,52.6,165,23,1
"17",3941611,"Barrow",2024-08-10,1,5,8,0.61,10,8,336,24.52,68.2,9,16,17,7,13,41.2,147,16,0
"18",3941611,"Crewe Alexandra",2024-08-10,1,11,17,0.31,4,0,480,23.18,78.5,8,19,14,7,12,58.8,99,20,1
"19",3941612,"AFC Wimbledon",2024-08-10,4,4,3,1.99,14,12,353,22.54,67.7,13,21,17,8,17,45.2,202,29,0
"20",3941612,"Colchester United",2024-08-10,4,10,20,0.93,7,6,429,21.26,72.7,18,27,16,10,8,54.8,107,23,1
"22",3941613,"Salford City",2024-08-10,0,22,22,0.63,8,7,394,28.08,60.7,23,28,19,11,9,53.2,145,23,0
"21",3941613,"Port Vale",2024-08-10,0,21,5,0.76,8,6,348,26.15,54,13,17,16,16,18,46.8,138,18,1
"24",3941614,"Milton Keynes Dons",2024-08-10,1,17,16,1.13,14,9,757,19.25,86.5,10,11,6,7,11,66.4,102,34,0
"23",3941614,"Bradford City",2024-08-10,1,6,7,0.67,8,5,383,24,70.8,10,10,8,6,13,33.6,118,20,1
"26",3941615,"Tranmere Rovers",2024-08-10,0,23,14,0.71,9,7,330,24.13,68.5,13,16,19,9,13,36.6,162,21,0
"25",3941615,"Notts County",2024-08-10,0,20,13,0.97,11,6,569,20.78,84.5,8,11,11,17,6,63.4,114,22,1
"27",3941616,"Bradford City",2024-08-17,0,7,6,1.04,14,8,461,24.96,67.7,15,19,22,11,13,51.5,185,32,0
"28",3941616,"Salford City",2024-08-17,0,22,19,0.29,6,3,431,25.55,67.1,21,33,15,10,13,48.5,178,27,1
"30",3941617,"Bromley",2024-08-17,2,4,3,0.55,8,8,334,26.36,64.4,16,20,16,11,7,39.9,124,14,0
"29",3941617,"AFC Wimbledon",2024-08-17,2,3,11,0.7,10,6,503,22.52,75.3,17,24,15,10,16,60.1,161,28,1
"32",3941618,"Carlisle United",2024-08-17,1,24,15,0.8,13,9,326,25.6,59.2,21,26,18,7,13,44,128,15,0
"31",3941618,"Barrow",2024-08-17,1,8,14,0.67,8,3,420,22.37,69,13,18,12,13,9,56,111,22,1
"33",3941619,"Colchester United",2024-08-17,2,20,12,1.13,12,10,300,24.1,69.7,10,14,22,13,17,32.9,173,17,0
"34",3941619,"Milton Keynes Dons",2024-08-17,2,16,23,1.14,11,7,612,20.05,84,15,20,17,17,11,67.1,120,19,1
"36",3941620,"Crewe Alexandra",2024-08-17,0,17,24,0.99,13,10,392,23.83,70.2,8,12,22,9,7,38.6,193,28,0
"35",3941620,"Chesterfield",2024-08-17,0,11,4,2.02,21,18,621,21.11,83.4,18,21,13,20,9,61.4,150,34,1
"38",3941621,"Grimsby Town",2024-08-17,3,18,13,0.98,13,11,369,24.86,66.7,15,17,14,9,19,48.9,149,21,0
"37",3941621,"Cheltenham Town",2024-08-17,3,6,10,0.79,8,4,388,22.96,64.7,8,12,11,11,14,51.1,125,22,1
"40",3941622,"Morecambe",2024-08-17,0,19,22,0.54,7,3,437,24.53,67,11,16,13,9,5,50.4,161,32,0
"39",3941622,"Gillingham",2024-08-17,0,2,2,1.1,11,8,427,24.61,73.5,20,21,13,12,15,49.6,161,31,1
"42",3941623,"Newport County AFC",2024-08-17,3,15,8,2.09,12,8,360,24.3,68.6,12,23,21,8,16,45.4,193,40,0
"41",3941623,"Doncaster Rovers",2024-08-17,3,1,7,1.68,22,14,434,22.84,75.1,18,24,19,15,12,54.6,183,33,1
"44",3941624,"Notts County",2024-08-18,2,17,16,2.94,17,16,808,20.2,89.4,4,8,15,12,7,79.4,88,11,0
"43",3941624,"Fleetwood Town",2024-08-18,2,9,6,0.48,5,4,210,25.02,68.6,9,14,15,10,17,20.6,231,20,1
"45",3941625,"Port Vale",2024-08-17,0,5,5,0.46,8,5,473,22.36,70.2,15,17,11,7,11,54.3,132,20,0
